----  Field Name Anthropology: 
----  Field Level 1.0: 
----  Field Papers Number 119117:
----  All time max citation paper: Using thematic analysis in psychology, 2008, (6353.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1931|0|0.0|Mikrochemie|Systematical Qualitative Analysis by Means of Modern Drop Reactions
1935|0|0.0|Journal of Ecology|A Study of the Natural Control of Ragwort (Senecio jacobaea L.).
1936|8.0|5.5|Journal of Genetics|Crossing-over and its mechanical relationships in Chorthippus and Stauroderus
1939|0|0.0|Journal of Dairy Science|The Determination of Chloride in Milk
1940|4.0|2.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|Sex differentiation in triploid newts (Triturus viridescens)
1942|0|0.0|Archives of Dermatology|TRICHOPHYTON PURPUREUM (BANG) AND TRICHOPHYTON GYPSEUM (BODIN): DIFFERENTIATION IN CULTURE
1944|5.0|3.0|Journal of Allergy|A quantitative method for measurement of precipitin reactions
1945|0|0.0|Proceedings of The Indian Academy of Sciences - Section A. Part 3, Mathematical Sciences|Observations on the seasonal distribution of the plankton of the Trivandrum coast
1946|7.0|7.0|Journal of Dairy Science|A Rapid Direct-Distillation Method for Determining the Volatile Fatty Acids of Cheese*
1947|0|0.0|Journal of the American Oil Chemists' Society|A qualitative method for detecting surface active agents
1948|1.0|0.5|Analytica Chimica Acta|Isotopes as tracers in analytical chemistry
1949|0|0.0|Analytica Chimica Acta|Tannin as a reagent in quantitative analysis
1950|9.0|1.5|Botanical Review|Development and structure of the phloem tissue. II.
1951|7.0|5.0|Biochimica et Biophysica Acta|Mouse liver nucleic acids II. Ultra-violet absorption studies
1952|10.0|4.5|Geochimica et Cosmochimica Acta|Association of rubidium and potassium and their abundance in common igneous rocks and meteorites
1953|7.0|1.0|Journal of Chemical Physics|The Decomposition of Nitrate Crystals by Ionizing Radiations
1954|20.0|2.0|Analytica Chimica Acta|Heterometric micro-determination of uranium (vi) by precipitation as phosphate
1955|3.0|0.0|Annals of Applied Biology|QUANTITATIVE METHODS IN NEMATOLOGY
1956|10.0|6.0|Virology|Structural and functional differentiation in T2 bacteriophage
1957|4.0|1.5|Analytica Chimica Acta|Voltammetric behavior of the iron(II)-(III) and cerium(III)-(IV) couples in potentiometric titrations at constant current and amperometric titrations with two indicator electrodes
1958|12.0|1.0|Journal of Chemical Physics|Kinetic Studies of Hydroxyl Radicals in Shock Waves. I. The Decomposition of Water between 2400 and 3200K
1959|6.0|0.0|The New England Journal of Medicine|The Clinical Spectrum of ECHO-Virus Infection.
1960|22.0|2.0|Archives of Biochemistry and Biophysics|NEUTRON ACTIVATION PAPER CHROMATOGRAPHIC ANALYSIS OF PHOSPHATIDES IN MAMMALIAN CELL FRACTIONS
1961|6.0|2.0|Journal of the American Ceramic Society|MONOCLINIC-TETRAGONAL TRANSITION OF ZIRCONIA
1962|14.0|1.0|Journal of Chemical Physics|Dielectric Relaxation in Associated Liquids
1963|15.0|1.0|Journal of Geophysical Research|Studies of particles for extraterrestrial origin: 1. Chemical analyses of 118 particles
1964|14.0|1.0|Journal of Geophysical Research|Uranium and thorium series inequilibrium in sea water
1965|13.0|2.5|Geochimica et Cosmochimica Acta|Rare earth abundances in the standard granite G-1 and standard diabase W-1
1966|7.0|1.0|Advances in Parasitology|Embryogenesis in cestodes.
1967|6.0|0.0|International Journal of Psychology|A COGNITIVESTYLE APPROACH TO CROSSCULTURAL RESEARCH1
1968|3.0|1.0|Journal of Food Science|Quantitative Methods for Anthocyanins. 4. Determination of Individual Anthocyanins in Cranberry and Cranberry Products
1969|9.0|1.5|Journal of Experimental Social Psychology|Development of Competitive Game Behavior in Children across Two Cultures.
1970|13.0|2.0|Nature|Hormones in the Translational Control of Early Germination in Wheat Embryos
1971|17.0|1.0|Geochimica et Cosmochimica Acta|The production rate of Al 26 from target elements in the Bruderheim chondrite
1972|16.0|1.0|Psychological Review|Complexity and the representation of patterned sequences of symbols
1973|63.0|1.0|Psychological Review|Situationism in psychology: an analysis and a critique.
1974|14.0|2.0|Experimental Eye Research|Changes in the monkey outflow apparatus at graded levels of intraocular pressure: a qualitative analysis by light microscopy and scanning electron microscopy
1975|33.0|1.0|American Psychologist|Functionalism, Darwinism, and the psychology of women.
1976|64.0|2.0|Human Ecology|The adaptive significance of cultural behavior
1977|27.0|2.0|Human Ecology|The adaptive significance of cultural behavior: Comments and reply
1978|25.0|1.0|The Journal of Comparative Neurology|Cell death of motoneurons in the chick embryo spinal cord. II. A quantitative and qualitative analysis of degenerationin the ventral root, including evidence for axon outgrowth and limb innervation prior to cell death
1979|122.0|2.0|Behavioral and Brain Sciences|Human ethology: concepts and implications for the sciences of man
1980|79.0|2.0|Ethology and Sociobiology|Animal cultures and a general theory of cultural evolution
1981|92.0|2.0|Cognitive Science|Categorization and Representation of Physics Problems by Experts and Novices*
1982|53.0|3.0|Ethology and Sociobiology|Despotism and differential reproduction: a cross-cultural correlation of conflict asymmetry hierarchy and degree of polygyny.
1983|36.0|2.0|Behavioral and Brain Sciences|Human inbreeding avoidance: Culture in nature
1984|115.0|2.0|Artificial Intelligence|Qualitative process theory
1985|69.0|2.0|The New England Journal of Medicine|The contribution of low birth weight to infant mortality and childhood morbidity.
1986|70.0|2.0|Educational Researcher|Closing Down the Conversation: The End of the Quantitative-Qualitative Debate Among Educational Inquirers
1987|170.0|2.0|Management Science|A foundation for the study of group decision support systems
1988|78.0|3.0|Personality and Individual Differences|Race differences in behaviour: A review and evolutionary analysis
1989|187.0|2.0|Behavioral and Brain Sciences|Sex differences in human mate preferences: evolutionary hypotheses tested in 37 cultures
1990|347.0|2.0|Cognitive Science|Finding Structure in Time
