----  Field Name Computational science: 
----  Field Level 1.0: 
----  Field Papers Number 7159:
----  All time max citation paper: Bioconductor: open software development for computational biology and bioinformatics, 2004, (5547.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1958|5.0|5.0|Journal of Chemical Physics|Quantum Mechanics of the H3 Complex
1959|0|0.0||Numerical methods for high-speed computers: a survey
1966|4.0|4.0|Proceedings of the IEEE|Very high-speed computing systems
1967|0|0.0||Executive programs for the LACONIQ time-shared retrieval monitor
1968|0|0.0|Ussr Computational Mathematics and Mathematical Physics|The collocation method
1969|1.0|1.0|Communications of The ACM|Computing polynomial resultants: Bezout's determinant vs. Collins' reduced P.R.S. algorithm
1970|3.0|3.0|Journal of Computational Physics|Variable mesh multistep methods for ordinary differential equations
1971|0|0.0|Journal of Sound and Vibration|Dispersion of elastic waves in a triangular bar
1972|19.0|13.0|Numerische Mathematik|A collocation method for boundary value problems
1973|20.0|4.5|Journal of the ACM|On Testing a Subroutine for the Numerical Integration of Ordinary Differential Equations
1974|8.0|0.0|Mathematics of Computation|The application of implicit Runge-Kutta and collection methods to boundary-value problems
1975|9.0|2.0|Biotechnology and Bioengineering|Solution of immobilized enzyme problems by collocation methods
1976|1.0|0.0||Inviscid transonic flow computations with shock fitting
1977|8.0|5.0|Computational Biology and Chemistry|Large scale scientific computation via minicomputer
1978|8.0|4.0|Mathematics of Computation|The artificial compression method for computation of shocks and contact discontinuities. III. Self-adjusting hybrid schemes
1979|4.0|2.0|Mathematics of Computation|A simplified Galerkin method for hyperbolic equations
1980|30.0|1.0|Journal of Computational Physics|Spectral methods for problems in complex geometries
1981|7.0|2.5|Journal of Sound and Vibration|Simplified method for solving problems of vibrating plates of doubly connected arbitrary shape, part I: Derivation of the frequency equation
1982|29.0|2.0|IEEE Computer|Evolution of the Ethernet Local Computer Network
1983|30.0|3.5|Mathematics of Computation|On the asymptotic convergence of collocation methods
1984|12.0|3.5|Journal of Chemical Physics|An elastic hinge model for dynamics of stiff chains. I. Viscoelastic properties
1985|24.0|1.0|Mathematics of Computation|On the asymptotic convergence of collocation methods with spline functions of even degree
1986|39.0|6.0|Mathematics of Computation|The construction of preconditioners for elliptic problems by substructuring. I
1987|103.0|2.0|IEEE Transactions on Computers|The Warp Computer: Architecture, Implementation, and Performance
1988|83.0|2.5||iWarp: an integrated solution to high-speed parallel computing
1989|78.0|3.0|programming language design and implementation|Process decomposition through locality of reference
1990|23.0|1.0|IEEE Transactions on Computers|Algorithm-based fault detection for signal processing applications
1991|23.0|3.0|Computers & Structures|An algorithm for domain decomposition in finite element analysis
1992|34.0|1.0|Journal of Fluid Mechanics|Toward the Large-Eddy Simulation of Compressible Turbulent Flows
1993|46.0|2.0|Management Science|Solving airline crew scheduling problems by branch-and-cut
1994|43.0|2.0|Communications of The ACM|Massively parallel methods for engineering and science problems
1995|175.0|2.5|IEEE\/ACM Transactions on Networking|Wide area traffic: the failure of Poisson modeling
1996|43.0|2.0||Nimbus-7 Total Ozone Mapping Spectrometer (TOMS) Data Products User's Guide
1997|42.0|2.0|Journal of Geophysical Research|A finitevolume, incompressible Navier Stokes model for studies of the ocean on parallel computers
1998|227.0|3.0|SIAM Journal on Scientific Computing|A Fast and High Quality Multilevel Scheme for Partitioning Irregular Graphs
1999|386.0|3.0|IEEE\/ACM Transactions on Networking|Promoting the use of end-to-end congestion control in the Internet
2000|45.0|3.0|SIAM Journal on Scientific Computing|Fast Solution of the Radial Basis Function Interpolation Equations: Domain Decomposition Methods
2001|86.0|3.0|Evolutionary Computation|Completely Derandomized Self-Adaptation in Evolution Strategies
2002|95.0|2.0|high performance distributed computing|Investigating the limits of SOAP performance for scientific computing
2003|107.0|3.0|Journal of Parallel and Distributed Computing|Entropia: architecture and performance of an enterprise desktop grid system
2004|1556.0|3.0|Genome Biology|Bioconductor: open software development for computational biology and bioinformatics
2005|181.0|4.0|Monthly Notices of the Royal Astronomical Society|The cosmological simulation code gadget2
2006|150.0|3.0|Siam Review|Iterative Methods by Space Decomposition and Subspace Correction
2007|154.0|3.0|IEEE Computer|Examining the Challenges of Scientific Workflows
2008|177.0|4.0|Mathematics and Computers in Simulation|Meshless methods: A review and computer implementation aspects
2009|106.0|4.0|Journal of Computational Physics|An adaptive hierarchical sparse grid collocation algorithm for the solution of stochastic differential equations
2010|156.0|4.5|Computers & Mathematics With Applications|A new operational matrix for solving fractional-order differential equations
