----  Field Name Mechanical Engineering: 
----  Field Level 1.0: 
----  Field Papers Number 74153:
----  All time max citation paper: Scheduling Algorithms for Multiprogramming in a Hard-Real-Time Environment, 1973, (3036.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1903|0|0.0|Fett-lipid|Ueber Neuerungen in der Analyse und Fabrikation von Lacken und Firnissen
1935|0|0.0|Transactions of The American Institute of Electrical Engineers|Spark Lag of the Sphere Gap
1945|0|0.0|Transactions of The American Institute of Electrical Engineers|The Design of Bus-Bar Industrial Distribution Systems: an Epitomization of Available Data
1946|0|0.0|Transactions of The American Institute of Electrical Engineers|Specific Engineering Problems in Rural Electrification and Electroagriculture
1949|2.0|2.0|Eos, Transactions American Geophysical Union|Significance of radioactivity in geophysics  Thermal history of the Earth
1950|1.0|1.0||The development and design of electrical control-gear for machine tools
1955|1.0|0.5|Personnel Psychology|Profile of the Mechanical Engineer. I. Ability
1956|11.0|0.0|Journal of Chemical Physics|DETERMINATION OF THE SIGNS OF NUCLEAR SPIN-SPIN INDIRECT COUPLING CONSTANTS
1957|1.0|0.5|Journal of Chemical Physics|Nuclear SpinSpin Coupling in Hydrocarbons
1960|10.0|6.0|Journal of Chemical Physics|Electronic Energy Levels and Crystal Quantum States of Tm (IV)
1961|10.0|10.0|Journal of Chemical Physics|VIBRONIC COUPLING. I. MATHEMATICAL TREATMENT FOR TWO ELECTRONIC STATES
1962|10.0|1.0|Journal of Applied Physics|Interaction of Sliding Metal Surfaces
1963|4.0|1.0|Journal of Chemical Physics|SULFUR AND SILICON ISOTOPE EFFECTS IN FLUORINE NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
1964|112.0|2.0|Nuclear Physics|Particle-hole description of carbon 12 and oxygen 16
1965|4.0|2.0|Proceedings of the IEEE|Elastic and magnetoelastic waves in yttrium iron garnet
1966|9.0|3.5|Proceedings of the IEEE|Man-computer graphics for computer-aided design
1967|12.0|4.0||The AED approach to generalized computer-aided design
1968|16.0|0.0|Journal of Geophysical Research|Detection of electromagnetic and electrostatic waves on OV33
1969|8.0|1.5|Annals of Physics|Nonlinear interactions of positive and negative energy modes in rarefied plasmas (I)
1970|17.0|1.0|Communications of The ACM|Representations for space planning
1971|7.0|1.0|International Journal of Heat and Mass Transfer|An experimental study of energy transfer processes relevant to thermal explosions
1972|7.0|1.0|Combustion and Flame|Auto-ignition of hydrocarbons behind reflected shock waves
1973|15.0|1.5|Journal of Geophysical Research|Mars: Fretted and chaotic terrains
1974|9.0|2.0|Journal of Geophysical Research|Study of a small magnetospheric substorm
1975|9.0|1.0|symposium on operating systems principles|Policy/mechanism separation in Hydra
1976|18.0|1.0|Journal of Geophysical Research|The topside magnetospheric cleft ionosphere observed from the Isis 2 spacecraft
1977|36.0|2.0|Journal of Chemical Physics|The electronic states of KrF
1978|21.0|2.0|Journal of Atmospheric and Solar-Terrestrial Physics|Microscopic plasma processes related to reconnection
1979|21.0|2.0|IEEE Computer|Human Factors Experiments in Designing Interactive Systems
1980|32.0|1.0|Planetary and Space Science|The solar wind-magnetosphere energy coupling and magnetospheric disturbances
1981|29.0|1.0|Geophysical Research Letters|The effect of microscopic turbulence on magnetosphereionosphere coupling
1982|29.0|1.0|IEEE Computer Graphics and Applications|GWB: A Solid Modeler with Euler Operators
1983|38.0|2.0|Journal of Geophysical Research|Dynamics of magnetosphereionosphere coupling including turbulent transport
1984|36.0|1.0|Management Science|The Nature and Design of Post-Industrial Organizations
1985|24.0|1.0|Applied Physics Letters|Highly efficient neodymium:yttrium aluminum garnet laser end pumped by a semiconductor laser array
1986|42.0|2.0|Environmental Mutagenesis|Chemically induced aneuploidy in mammalian cells: Mechanisms and biological significance in cancer
1987|30.0|2.0|Journal of Biomechanics|Adaptive bone-remodeling theory applied to prosthetic-design analysis
1988|33.0|1.0|Applied Physics Letters|Spectroscopic study of plasmaassisted laser deposition of YBaCuO
1989|41.0|2.0|Applied Physics Letters|Thin-film deposition by a new laser ablation and plasma hybrid technique
1990|63.0|2.0|Computer Methods in Applied Mechanics and Engineering|Mixed finite element methodsreduced and selective integration techniques: a unification of concepts
