----  Field Name Radiochemistry: 
----  Field Level 1.0: 
----  Field Papers Number 2930:
----  All time max citation paper: Influence of diet on the distribution of nitrogen isotopes in animals, 1981, (2524.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1951|2.0|2.0||Electromagnetic Radiation Fundamentals and their Applications in Food Technology
1953|9.0|9.0|Geochimica et Cosmochimica Acta|THE GEOCHEMISTRY OF THE STABLE CARBON ISOTOPES
1955|3.0|3.0|Annals of the New York Academy of Sciences|FACTORS IN THE RADIOSENSITIVITY OF MAMMALIAN CELLS
1958|2.0|2.0|The International Journal of Applied Radiation and Isotopes|Medical applications of neutron activation analysis
1959|6.0|6.0|Journal of Chemical Physics|MICROWAVE SPECTRUM AND MOLECULAR STRUCTURE OF VINYL FLUORIDE
1960|30.0|11.0|Geochimica et Cosmochimica Acta|Determinations of concentrations of heavy elements in meteorites by activation analysis
1961|10.0|6.0|Geochimica et Cosmochimica Acta|The geochemistry of cobalt
1962|47.0|8.0|Geochimica et Cosmochimica Acta|Abundances of iodine tellurium and uranium in meteorites
1963|42.0|10.0|Geochimica et Cosmochimica Acta|Abundances of the fourteen rare-earth elements, scandium, and yttrium in meteoritic and terrestrial matter
1964|112.0|4.5|Nuclear Physics|Particle-hole description of carbon 12 and oxygen 16
1965|28.0|3.0|Nuclear Physics|INELASTIC SCATTERING OF 185 Mev PROTONS FROM LIGHT NUCLEI
1966|12.0|0.5|Physics Letters|ELASTIC SCATTERING OF 52-MeV DEUTERONS.
1967|22.0|4.0|Geochimica et Cosmochimica Acta|Iodine, uranium and tellurium contents in meteorites
1968|17.0|2.0|Geochimica et Cosmochimica Acta|Instrumental activation analysis of standard rocks with high-resolution gamma-ray detectors.
1969|28.0|1.0|Earth and Planetary Science Letters|Partition of trace elements between rock-forming minerals and the host volcanic rocks
1970|28.0|2.0|Geochimica et Cosmochimica Acta|Bismuth contents of chondrites
1971|45.0|2.0|Geochimica et Cosmochimica Acta|Chemical fractionations in meteoritesIV abundances of fourteen trace elements in L-chondrites; implications for cosmothermometry
1972|27.0|3.0|Geochimica et Cosmochimica Acta|Chemical fractionations in meteorites. V - Volatile and siderophile elements in achondrites and ocean ridge basalts.
1973|52.0|2.5|Geochimica et Cosmochimica Acta|Abundance of 17 trace elements in carbonaceous chondrites
1974|24.0|1.0|Analytica Chimica Acta|The simultaneous determination of 20 trace elements in terrestrial, lunar and meteoritic material by radiochemical neutron activation analysis
1975|39.0|4.0|Science|Extinct superheavy element in the Allende meteorite
1976|27.0|3.5|Geochimica et Cosmochimica Acta|Trace elements in the Allende meteorite. I - Coarse-grained, Ca-rich inclusions
1977|18.0|6.0|Earth and Planetary Science Letters|Gas-rich minerals in the Allende meteorite - Attempted chemical characterization
1978|36.0|3.0|Geochimica et Cosmochimica Acta|Further studies of trace elements in C3 chondrites
1979|53.0|3.5|Journal of Catalysis|Incorporation of surface carbon into hydrocarbons during Fischer--Tropsch synthesis: mechanistic implications
1980|22.0|4.0|Earth and Planetary Science Letters|Elemental abundances in chondrules from unequilibrated chondrites Evidence for chondrule origin by melting of pre-existing materials
1981|63.0|4.0|Geochimica et Cosmochimica Acta|Influence of diet on the distribution of nitrogen isotopes in animals
1982|32.0|5.0|Geochimica et Cosmochimica Acta|Chronology and petrogenesis of young achondrites, Shergotty, Zagami, and ALHA77005: late magmatism on a geologically active planet
1983|22.0|4.5|Geochimica et Cosmochimica Acta|Refractory precursor components of Semarkona chondrules and the fractionation of refractory elements among chondrites
1984|30.0|2.5|Geochimica et Cosmochimica Acta|The 'North American shale composite' - Its compilation, major and trace element characteristics
1985|17.0|2.0|Geochimica et Cosmochimica Acta|Chemical and physical studies of type 3 chondritesIV: Annealing studies of a type 3.4 ordinary chondrite and the metamorphic history of meteorites
1986|52.0|4.0|Neuroscience|In vivo presynaptic control of dopamine release in the cat caudate nucleusIII. Further evidence for the implication of corticostriatal glutamatergic neurons
1987|16.0|2.0|Geochimica et Cosmochimica Acta|Chemical studies of H chondrites. II: Weathering effects in the Victoria Land, Antarctic population and comparison of two Antarctic populations with non-Antarctic falls
1988|11.0|4.0|Earth and Planetary Science Letters|Chemical composition of North American microtektites and tektite fragments from Barbados and DSDP Site 612 on the continental slope off New Jersey
1989|27.0|4.5|Geochimica et Cosmochimica Acta|Ordinary chondrites: Bulk compositions, classification, lithophile-element fractionations and composition-petrographic type relationships
1990|23.0|1.0|Geochimica et Cosmochimica Acta|Sulfide melt-silicate melt distribution coefficients for noble metals and other chalcophile elements as deduced from MORB: Implications for partial melting
1991|27.0|3.0|Geochimica et Cosmochimica Acta|Partitioning of palladium, iridium, and platinum between sulfide liquid and basalt melt: Effects of melt composition, concentration, and oxygen fugacity
1992|30.0|2.0|Plant Cell and Environment|The use of natural abundance of nitrogen isotopes in plant physiology and ecology
1993|50.0|3.0|Journal of Dairy Science|Proteolytic Enzymes and Their Relation to Cheese Ripening and Flavor: An Overview
1994|81.0|1.0||ALH84001, a cumulate orthopyroxenite member of the Martian meteorite clan
1995|27.0|1.0|Journal of Chemical Physics|The anharmonic force field of ethylene, C2H4, by means of accurate ab initio calculations
1996|42.0|1.0|The Lancet|Progressive cellular dehydration and proteolysis in critically ill patients
1997|13.0|2.0|Science of The Total Environment|Contribution of fungi to radiocaesium intake by rural populations in Russia
1998|27.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Bayesian approaches to Gaussian mixture modeling
1999|13.0|2.0|Applied Surface Science|Synthesis of crystalline C 3 N 4 by MPCVD
2000|32.0|3.0|Atmospheric Environment|Investigation of sources of atmospheric aerosol at urban and suburban residential areas in Thailand by positive matrix factorization
2001|36.0|4.0|Experimental Gerontology|Age determination and validation studies of marine fishes: do deep-dwellers live longer?
2002|89.0|3.0|Journal of Dairy Science|THE COMPOSITION OF BOVINE MILK LIPIDS: JANUARY 1995 TO DECEMBER 2000
2003|88.0|5.0|Global Biogeochemical Cycles|The application and interpretation of Keeling plots in terrestrial carbon cycle research
2004|76.0|4.0|Journal of the American College of Cardiology|Contrast nephropathy: review focusing on prevention.
2005|106.0|1.0|Journal of Molecular Biology|Hot Regions in ProteinProtein Interactions: The Organization and Contribution of Structurally Conserved Hot Spot Residues
2006|41.0|2.0|Soil Biology & Biochemistry|13 C and 15 N natural abundance of the soil microbial biomass
2007|61.0|2.0|New Phytologist|Evolutionary control of leaf element composition in plants
2008|125.0|4.0|Radiology|Converting Dose-Length Product to Effective Dose at CT1
2009|68.0|3.0|Journal of the American College of Cardiology|Sildenafil stops progressive chamber, cellular, and molecular remodeling and improves calcium handling and function in hearts with pre-existing advanced hypertrophy caused by pressure overload.
2010|73.0|6.0|Sleep Medicine|Cross-cultural differences in infant and toddler sleep
