----  Field Name Geochemistry: 
----  Field Level 1.0: 
----  Field Papers Number 46835:
----  All time max citation paper: The composition of the Earth, 1995, (3800.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1939|0|0.0|Biological Reviews|STABLE ISOTOPES AS INDICATORS IN BIOLOGY
1940|0|0.0|The Journal of Agricultural Science|Distribution of manganese in the pea seed in relation to marsh spot
1941|1.0|1.0|Journal of Applied Physics|Separation and Use of Stable Isotopes
1942|0|0.0|Plant Physiology|INFLUENCE OF CARBON DIOXIDE ON RESPONSE OF ASPERGILLUS NIGER TO TRACE ELEMENTS
1948|0|0.0|Proceedings of The Indian Academy of Sciences - Section A. Part 3, Mathematical Sciences|Trace element nutrition of fungi
1950|0|0.0|Botanical Review|Isotopes as tracers in plants.
1951|15.0|0.0|Geochimica et Cosmochimica Acta|The distribution of trace elements during strong fractionation of basic magmaa further study of the Skaergaard intrusion, East Greenland
1952|7.0|6.0|American Journal of Anatomy|Autoradiographic studies of calcium, phosphorus and strontium distribution in the bones of the growing pig
1953|9.0|5.0|Geochimica et Cosmochimica Acta|THE GEOCHEMISTRY OF THE STABLE CARBON ISOTOPES
1954|8.0|5.0|Geochimica et Cosmochimica Acta|The transport and deposition of uranium, ionium and radium in rivers, oceans and ocean sediments
1955|5.0|1.0|Geochimica et Cosmochimica Acta|A petrochemical study of Tertiary tholeiitic basalts: The middle lavas of the Antrim Plateau
1956|1.0|0.5|Geochimica et Cosmochimica Acta|On the state of our knowledge of trace elements in the ocean
1957|5.0|1.5|Physiologia Plantarum|Studies on the Nutrition of Forest Tree Seedlings. II Mineral Nutrition of Spruce
1958|7.0|4.0|Geochimica et Cosmochimica Acta|Thorium, uranium and potassium in some sandstones
1959|13.0|4.0|Journal of Clinical Investigation|NORMAL CONCENTRATIONS OF SOME TRACE METALS IN HUMAN URINE: CHANGES PRODUCED BY ETHYLENEDIAMINETETRAACETATE *
1960|30.0|2.0|Geochimica et Cosmochimica Acta|Determinations of concentrations of heavy elements in meteorites by activation analysis
1961|10.0|3.0|Geochimica et Cosmochimica Acta|The geochemistry of cobalt
1962|17.0|4.0|Journal of Applied Physics|Work Function Variation of Metals Coated by Metallic Films
1963|25.0|4.0|Journal of Geophysical Research|A PROCEDURE FOR GEOCHEMICAL INTERPRETATION OF TERRESTRIAL RARE-EARTH ABUNDANCE PATTERNS,
1964|84.0|5.0|Nuclear Physics|Energy levels from (p, p), (d, p) and (d, ) reactions on the stable isotopes between Sc45 and Ni58
1965|36.0|5.5|Physics and Chemistry of The Earth|The application of trace element data to problems in petrology
1966|47.0|3.0|Physics and Chemistry of The Earth|Meteoritic, solar and terrestrial rare-earth distributions.
1967|91.0|6.0|Contributions to Mineralogy and Petrology|The genesis of basaltic magmas
1968|105.0|6.0|Geochimica et Cosmochimica Acta|Trace element fractionation and the origin of tholeiitic and alkaline magma types
1969|153.0|5.5|Geochimica et Cosmochimica Acta|U.S. Geological Survey standards-II. First compilation of data for the new U.S.G.S. rocks
1970|70.0|3.0|Geochimica et Cosmochimica Acta|Phenocryst-matrix partition coefficients for K, Rb, Sr and Ba, with applications to anorthosite and basalt genesis
1971|53.0|5.0|Earth and Planetary Science Letters|Lunar chronology and evolution from Rb-Sr studies of Apollo 11 and 12 samples
