----  Field Name Structural engineering: 
----  Field Level 1.0: 
----  Field Papers Number 23615:
----  All time max citation paper: Collective dynamics of 'small-world' networks, 1998, (10030.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1934|0|0.0|American Journal of Public Health|The Effectiveness of Vaccines Used for the Prevention of Typhoid Fever in the United States Army and Navy
1948|4.0|4.0|JAMA|Influenza A in a Vaccinated Population.
1955|2.0|2.0|Virology|Production of poliomyelitis virus with combined antigenic characteristics of type I and type II
1960|5.0|1.0|Nature|Antigenic Structure of Non-Infectious Adenovirus Materials
1961|7.0|3.5|Virology|Intratypic Serodifferentiation of Polioviruses.
1962|0|0.0||Forced vibration of continuous highway bridges
1963|0|0.0|Symposium (international) on Combustion|STRUCTURE AND STABILITY OF THE SQUARE-WAVE DETONATION
1964|0|0.0|Tribology Transactions|The Effect of Interface Composition on the Wear Rate of Sapphire
1965|2.0|1.0||Structural Behavior and Buckling Strength of Honeycomb Sandwich Cylinders Subjected to Bending.
1966|4.0|2.5|Philosophical Magazine|Dispersion hardening of copper single crystals
1968|6.0|6.0|Journal of Geophysical Research|Correlation between acoustical and other physical properties of deepsea cores
1969|6.0|2.5|Soil Biology & Biochemistry|The influence of soil structure and moisture on nematodes, especially xiphinema, longidorus, trichodorus and heterodera spp.
1970|10.0|2.0|Philosophical Magazine|The temperature and strain-rate dependence of the shear strength of mild steel
1971|5.0|1.0|Engineering Geology|GRAIN SIZE, MINERALOGY AND CHEMISTRY OF A QUICK-CLAY SAMPLE FROM THE ULLENSAKER SLIDE, NORWAY
1972|3.0|1.5|Tectonophysics|Room-temperature shear strengths of rocks under near-hydrostatic confining pressure to 80 kbar, 1. Solnhofen Limestone and three Georgia Marbles
1973|11.0|1.0|international symposium on microarchitecture|A higher level language for micro-programming
1974|3.0|1.0|Journal of Eukaryotic Microbiology|Kinetoplast DNA of Crithidia*
1975|18.0|0.0|Journal of Geophysical Research|Lowfriction cell for pistoncylinder highpressure apparatus
1976|14.0|7.0|Earth and Planetary Science Letters|Thermal regimes and regional metamorphism in the vicinity of overthrust faults: an example of shear heating and inverted metamorphic zonation from southern California
1977|24.0|2.0|Phytochemistry|The proteinase inhibitors of plants and micro-organisms
1978|36.0|0.5|Virology|Structure of the cauliflower mosaic virus genome II. Variation in DNA structure and sequence between isolates.
1979|13.0|2.0|International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts|Crack-crack and crack-pore interactions in stressed granite
1980|76.0|2.0|Nature|Novel expression-linked copies of the genes for variant surface antigens in trypanosomes.
1981|85.0|1.0|Gene|Isolation of -globin related genes from a human cosmid library.
1982|23.0|3.0|Thrombosis Research|Fibrin gel structure and clotting time
1983|45.0|2.0|Journal of General Virology|The Biology of Coronaviruses
1984|36.0|2.5|Journal of Applied Physics|Commensurate and incommensurate structures in molecular beam epitaxially grown GexSi1xfilms on Si(100)
1985|27.0|2.0|Polymer|Polyblends containing a liquid crystalline polymer
1986|37.0|2.0|Journal of Geophysical Research|Crustal earthquake instability in relation to the depth variation of frictional slip properties
1987|122.0|3.0|Science|New Evidence on the State of Stress of the San Andreas Fault System
1988|27.0|1.0|Chemical Physics|Structure, Energetics, and Vibrational Spectra of H-Bonded Systems. Dimers and Trimers of HF and HCl
1989|39.0|2.0|Journal of the American Ceramic Society|Interfacial Bonding and Friction in Silicon Carbide [Filament]Reinforced Ceramic and GlassMatrix Composites
1990|185.0|4.0|Trends in Biochemical Sciences|Protein kinase recognition sequence motifs.
1991|86.0|3.0|Journal of the American Ceramic Society|Bioceramics: From Concept to Clinic
1992|48.0|2.0|Oikos|Ecological processes that affect populations in complex landscapes
1993|54.0|2.0|Journal of Geophysical Research|Internal structure and weakening mechanisms of the San Andreas Fault
1994|114.0|2.0|Molecular Ecology|Analysis of population genetic structure with RAPD markers
1995|36.0|2.0|Proteins|LINUS: A hierarchic procedure to predict the fold of a protein
1996|58.0|2.0|Structure|Conservation within the myosin motor domain: implications for structure and function
1997|294.0|3.0|Nature Structural & Molecular Biology|From Levinthal to pathways to funnels
1998|406.0|3.5|Nature|Collective dynamics of 'small-world' networks
1999|157.0|3.0|Biochimica et Biophysica Acta|Functional roles of S100 proteins, calcium-binding proteins of the EF-hand type
2000|213.0|5.0|Nature|Protein function in the post-genomic era
2001|209.0|5.0|Journal of Molecular Biology|Assignment of homology to genome sequences using a library of hidden Markov models that represent all proteins of known structure
2002|141.0|4.0|The EMBO Journal|Human SIR2 deacetylates p53 and antagonizes PML/p53induced cellular senescence
2003|551.0|5.0|Annual Review of Immunology|Human Chemokines: An Update
2004|696.0|5.0|Annual Review of Neuroscience|THE MIRROR-NEURON SYSTEM
2005|460.0|5.0|NeuroImage|A new SPM toolbox for combining probabilistic cytoarchitectonic maps and functional imaging data
2006|351.0|4.0|Nature Structural & Molecular Biology|RNA polymerase III transcribes human microRNAs
2007|413.0|5.0|Nature Structural & Molecular Biology|How chromatin-binding modules interpret histone modifications: lessons from professional pocket pickers
2008|698.0|6.0|Science|High-Throughput Synthesis of Zeolitic Imidazolate Frameworks and Application to CO2 Capture
2009|482.0|7.0|Nature Structural & Molecular Biology|Structural and functional bases for broad-spectrum neutralization of avian and human influenza A viruses.
2010|528.0|6.0|International Journal of Remote Sensing|Global land cover classification at 1 km spatial resolution using a classification tree approach
