----  Field Name Hydrography: 
----  Field Level 2.0: 
----  Field Papers Number 4760:
----  All time max citation paper: Are We Predicting the Actual or Apparent Distribution of Temperate Marine Fishes?, 2012, (1957.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1962|0|0.0|Proceedings of The Institute of Radio Engineers|Uses of Ultrasonics in Radio, Radar and Sonar Systems
1963|3.0|0.0|Radio and Electronic Engineer|Cathode-ray tube displays for fish detection on trawlers
1964|27.0|27.0|Journal of Geophysical Research|Spread-f observations by the alouette topside sounder satellite
1965|5.0|5.0|Proceedings of The Institution of Electrical Engineers|Cylindrical arrays with electronic beam scanning
1966|5.0|5.0|Journal of Geophysical Research|Correlation of plasma scale height with K p in the topside ionosphere
1967|5.0|1.0|IEEE Transactions on Information Theory|The asymptotic relative efficiency of mixed statistical tests
1969|3.0|1.5|Radio and Electronic Engineer|A review of progress in underwater acoustics
1970|5.0|2.5|IEEE Transactions on Audio and Electroacoustics|Composite signal decomposition
1971|0|0.0|Materials and Structures|Degre critique de saturation. Un outil pour l'estimation de la resistance au gel des materiaux de construction
1972|2.0|2.0|Physics of the Earth and Planetary Interiors|Focal mechanism of a shock at the northwestern boundary of the pacific plate: Extensional feature of the oceanic lithosphere and compressional feature of the continental lithosphere
1973|0|0.0|IEEE Transactions on Aerospace and Electronic Systems|Optimum Signal and Filter Design in Underwater Acoustic Echo Ranging Systems
1974|6.0|1.5|Remote Sensing of Environment|Active microwave measurement of soil water content
1975|3.0|2.0|Pure and Applied Geophysics|A Search for Precursors to the Sitka, 1972, Earthquake: Sea Level, Magnetic Field, and P-Residuals
1976|8.0|5.5|Geophysical Research Letters|Echo III: The study of electric and magnetic fields with conjugate echoes from artificial electron beams injected into the auroral zone ionosphere
1977|12.0|1.0||Nomography for Operations Research
1978|8.0|2.0|Nature|Sedimentation rates determined by 137Cs dating in a rapidly accreting salt marsh
1979|14.0|4.5|Journal of Geophysical Research|Size of great earthquakes of 18371974 inferred from tsunami data
1980|19.0|6.0|Reviews of Geophysics|The application of artificial electron beams to magnetospheric research
1981|68.0|2.0|Proceedings of the IEEE|Spectrum analysis&#8212;A modern perspective
1982|10.0|4.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Improving the resolution of bearing in passive sonar arrays by eigenvalue analysis
1983|6.0|3.0|International Journal of Cement Composites and Lightweight Concrete|IMPACT PROPERTIES OF STEEL FIBRE REINFORCED CONCRETE IN BENDING
1984|12.0|2.0|Journal of Geophysical Research|Seasonal variability of alongshore geostrophic velocity off central California
1985|12.0|2.5|Journal of Geophysical Research|A cool anomaly off northern California - An investigation using IR imagery and in situ data
1986|25.0|5.0|Journal of Geophysical Research|Deglaciationinduced vertical motion of the North American continent and transient lower mantle rheology
1987|10.0|2.0|Marine Geodesy|Trends in U.K. mean sea level
1988|122.0|3.5|Neural Networks|Analysis of hidden units in a layered network trained to classify sonar targets
1989|22.0|3.0|IEEE Transactions on Robotics and Automation|Maintaining representations of the environment of a mobile robot
1990|49.0|3.5|Reviews of Geophysics|Similarity and scale in catchment storm response
1991|49.0|3.0|Journal of Geophysical Research|Global sea level rise
1992|19.0|4.0|international conference on robotics and automation|Noise rejection for ultrasonic sensors in mobile robot applications
1993|84.0|2.0|international symposium on computer architecture|A comparison of dynamic branch predictors that use two levels of branch history
1994|42.0|3.0|Journal of Geophysical Research|TOPEX/POSEIDON tides estimated using a global inverse model
1995|34.0|4.0|Journal of Geophysical Research|A giant landslide on the north flank of Tenerife, Canary Islands
1996|30.0|2.0|Artificial Intelligence|Learning Maps for Indoor Mobile Robot Navigation.
1997|26.0|3.0|Journal of Geophysical Research|The flow field of the subtropical gyre of the South Indian Ocean
1998|41.0|3.0|Journal of Geophysical Research|The Tropical OceanGlobal Atmosphere observing system: A decade of progress
1999|36.0|4.0|field programmable custom computing machines|A CAD suite for high-performance FPGA design
2000|43.0|4.0|Genes & Development|Transient depletion of xDnmt1 leads to premature gene activation in Xenopus embryos.
2001|43.0|4.5|Marine Geology|The Sissano, Papua New Guinea tsunami of July 1998  offshore evidence on the source mechanism
2002|119.0|4.0|IEEE Communications Magazine|Indoor geolocation science and technology
2003|34.0|4.0|Journal of Geophysical Research|A revised dislocation model of interseismic deformation of the Cascadia subduction zone
2004|120.0|5.0||MIMO radar: an idea whose time has come
2005|257.0|5.0|Geophysical Research Letters|Accuracy assessment of ocean tide models around Antarctica
2006|228.0|5.0|Geophysical Research Letters|A 20th century acceleration in global sealevel rise
2007|91.0|5.5|Geophysical Research Letters|How much is the ocean really warming?
2008|132.0|4.0|Renewable & Sustainable Energy Reviews|Utilization of sewage sludge in EU application of old and new methodsA review
2009|357.0|3.0|Geophysical Research Letters|Coherent multidecadal variability in North Atlantic sea level
2010|94.0|6.0|Marine Geodesy|Calibration of TOPEX/Poseidon and Jason Altimeter Data to Construct a Continuous Record of Mean Sea Level Change
