----  Field Name Petrography: 
----  Field Level 2.0: 
----  Field Papers Number 1125:
----  All time max citation paper: Shock metamorphism of ordinary chondrites, 1991, (593.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1966|7.0|6.5|Reviews of Geophysics|Some geological implications of equilibrium between graphite and a CHO gas phase at high temperatures and pressures
1967|12.0|12.0|Geochimica et Cosmochimica Acta|Chromite composition in relation to chemistry and texture of ordinary chondrites.
1968|15.0|15.0|Journal of Geophysical Research|Deformation of olivine in stony meteorites.
1969|6.0|6.0|Nature|Early pre-Cambrian Onverwacht microstructures - Possibly the oldest fossils on earth?
1970|12.0|5.5|Earth and Planetary Science Letters|Apollo 12 clinopyroxenes: Chemical trends
1971|15.0|9.0|Earth and Planetary Science Letters|Petrologic and mineralogic investigation of some crystalline rocks returned by the Apollo 14 mission
1972|6.0|2.0|Earth and Planetary Science Letters|Comparative petrology of Apollo 16 sample 68415 and Apollo 14 samples 14276 and 14310
1973|14.0|9.0|Earth and Planetary Science Letters|Origin of lunar feldspathic rocks
1974|17.0|7.0|Geochimica et Cosmochimica Acta|Chemical and petrographic correlations among carbonaceous chondrites
1975|29.0|3.5|Geochimica et Cosmochimica Acta|Petrography and mineral chemistry of Ca-rich inclusions in the Allende meteorite
1976|18.0|11.0|Geochimica et Cosmochimica Acta|Chemical classification of iron meteorites. VIII - Groups IC, IIE, IIIF and 97 other irons
1977|9.0|5.0|Geochimica et Cosmochimica Acta|Carbonaceous chondrites of the Ornans type - A metamorphic sequence
1978|53.0|19.0|Earth and Planetary Science Letters|Ultramafic inclusions from San Carlos, Arizona - Petrologic and geochemical data bearing on their petrogenesis
1979|25.0|17.0|Reviews of Geophysics|Are carbonaceous chondrites primitive or processed? A review
1980|57.0|8.0|Geochimica et Cosmochimica Acta|Carbonaceous chondrites. II - Carbonaceous chondrite phyllosilicates and light element geochemistry as indicators of parent body processes and surface conditions
1981|25.0|12.0||RELATIVE ABUNDANCES OF CHONDRULE PRIMARY TEXTURAL TYPES IN ORDINARY CHONDRITES AND THEIR BEARING ON CONDITIONS OF CHONDRULE FORMATION
1982|23.0|8.0|Geochimica et Cosmochimica Acta|Evidence for primitive nebular components in chondrules from the Chainpur chondrite
1983|23.0|6.0|Geochimica et Cosmochimica Acta|Petrogenesis of the Elephant Moraine A79001 meteorite Multiple magma pulses on the shergottite parent body
1984|15.0|6.5|Journal of Geophysical Research|Petrogenesis of the SNC (shergottites, nakhlites, chassignites) meteorites: Implications for their origin from a large dynamic planet, possibly Mars
1985|8.0|3.0|Geochimica et Cosmochimica Acta|Mineral chemistry and origin of spinel-rich inclusions in the Allende CV3 chondrite
1986|27.0|6.5|Nature|Secular variation in carbon isotope ratios from Upper Proterozoic successions of Svalbard and East Greenland
1987|15.0|1.5|Geochimica et Cosmochimica Acta|Chondrules, matrix and coarse-grained chondrule rims in the Allende meteorite: Origin, interrelationships and possible precursor components
1988|26.0|5.0|Geochimica et Cosmochimica Acta|Matrix mineralogy of the Orgueil CI carbonaceous chondrite
1989|29.0|7.0|Journal of Geophysical Research|Dynamic mixing in magma bodies: Theory, simulations, and implications
1990|12.0|5.5|Journal of Geophysical Research|Origins of Marslike spectral and magnetic properties of a Hawaiian palagonitic soil
1991|73.0|3.0|Geochimica et Cosmochimica Acta|Shock metamorphism of ordinary chondrites
1992|16.0|8.0||Dissemination and fractionation of projectile materials in the impact melts from Wabar Crater, Saudi Arabia
1993|17.0|2.0||Asteroid differentiation - Pyroclastic volcanism to magma oceans
1994|81.0|6.0||ALH84001, a cumulate orthopyroxenite member of the Martian meteorite clan
1995|50.0|2.0||A Petrographic History of Martian Meteorite ALH84001: Two Shocks and an Ancient Age
1996|41.0|3.5|Geochimica et Cosmochimica Acta|Major and trace elements of river-borne material: The Congo Basin
1997|11.0|5.0|Earth and Planetary Science Letters|Phase relations of natural phlogopite with and without enstatite up to 8 GPa: implication for mantle metasomatism
1998|20.0|2.0|Earth and Planetary Science Letters|Sulphide inclusions in diamonds from the Koffiefontein kimberlite, S Africa: constraints on diamond ages and mantle ReOs systematics
1999|25.0|5.0|Tectonophysics|Xenolith-controlled geotherm for the central Fennoscandian Shield: implications for lithosphereasthenosphere relations
2000|26.0|4.0|Journal of Geophysical Research|Viscoplastic self-consistent and equilibrium-based modeling of olivine lattice preferred orientations : Implications for the upper mantle seismic anisotropy
2001|29.0|5.0|Lithos|Fluid inclusion petrography
2002|32.0|5.0|Geophysical Journal International|Palaeomagnetism of East Siberian traps and kimberlites: two new poles and palaeogeographic reconstructions at about 360 and 250 Ma
2003|55.0|5.0|Contributions to Mineralogy and Petrology|Prograde destruction and formation of monazite and allanite during contact and regional metamorphism of pelites: petrology and geochronology
2004|56.0|5.5|Geology|Kimberlite melts rich in alkali chlorides and carbonates: A potent metasomatic agent in the mantle
2005|76.0|8.0|Nature|Two episodes of microbial change coupled with Permo/Triassic faunal mass extinction
2006|85.0|5.0|Journal of Volcanology and Geothermal Research|Dynamical constraints on kimberlite volcanism
2007|57.0|8.0|Journal of Volcanology and Geothermal Research|Root zone processes in the phreatomagmatic pipe emplacement model and consequences for the evolution of maardiatreme volcanoes
2008|78.0|8.5|Journal of Petrology|Sediment Melts at Sub-arc Depths: an Experimental Study
2009|84.0|9.0|Lithos|The continental lithosphere: Reconciling thermal, seismic, and petrologic data
2010|43.0|6.5|Lithos|Surface wave tomography: Imaging of the lithosphereasthenosphere boundary beneath central and southern Africa?
