----  Field Name Differential geometry
----  Field Level 2.0
----  Field Papers Number 77756
----  All time max citation paper Dictionary of protein secondary structure: Pattern recognition of hydrogenbonded and geometrical features, 1983, (6445.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1937|0|0.0|The Journal of Agricultural Science|A study of the fasting metabolism of various breeds of hog: III. Metabolism and surface area measurements.
1940|0|0.0|Acta Mathematica|The existence of minimal surfaces of given topological structure under prescribed boundary conditions
1941|2.0|2.0|Journal of Dairy Science|Effect of Certain Factors upon Lipolysis in Homogenized Raw Milk and Cream*
1944|0|0.0|Transactions of the American Mathematical Society|Conformal differential geometry of a subspace
1946|2.0|0.5|Bulletin of the American Mathematical Society|Some new viewpoints in differential geometry in the large
1947|4.0|3.0|Transactions of the American Mathematical Society|A theorem on surface area
1948|0|0.0|Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy|An Investigation of Spectrochemical Sparking-off Effects in the Flat Surface Sparking of Steels
1949|2.0|0.0|Journal of the American Ceramic Society|SURFACE AREA AND ITS EFFECT ON EXCHANGE CAPACITY OF MONTMORILLONITE
1950|3.0|1.5|Journal of the American Ceramic Society|Preparation, Structure, and Applications of Thin Films of Silicon Monoxide and Titanium Dioxide
1951|2.0|2.0|Journal of Dairy Science|The SolarActivated Flavor of Homogenized Milk. IV. Isolation and Characterization of a Whey Constituent Capable of Producing the SolarActivated Flavor1
1952|2.0|2.0|Journal of Chemical Physics|THE INFRARED SPECTRUM OF NITROSYL FLUORIDE. PART I. PRISM SPECTRUM
1953|5.0|2.0|Journal of Applied Physics|DIFFUSION IN BIMETAL VAPOR-SOLID COUPLES
1954|4.0|2.5|Journal of Applied Physics|Crystallization Kinetics in High Polymers. I. Bulk Polymers
1955|3.0|2.0|Geochimica et Cosmochimica Acta|THE IONIUM METHOD OF AGE DETERMINATION
1956|9.0|1.0|Journal of Chemical Physics|Role of Nitric Oxide in the Thermal Decomposition of Nitrous Oxide
1957|5.0|1.5|Journal of Chemical Physics|DIFFUSION OF NICKEL IN NICKEL OXIDE
1958|15.0|2.0|Journal of Applied Physics|Thermal Restoration of Oxygenated Germanium Surfaces
1959|1.0|0.0|Advances in Physics|THRESHOLD EFFECTS IN NUCLEAR REACTIONS
1960|8.0|2.0|Experimental Neurology|Changes during growth in the volume and surface area of cortical neurons in the rabbit
1961|10.0|2.0|Nuclear Physics|THE SHAPE OF THE ATOMIC NUCLEUS AND ZERO SPIN EXCITED STATES
1962|31.0|2.0|Psychometrika|The analysis of proximities: Multidimensional scaling with an unknown distance function. II
1963|22.0|1.0|Journal of Applied Physics|STRUCTURE AND ORIGIN OF STACKING FAULTS IN EPITAXIAL SILICON
1964|25.0|2.0|Journal of Geophysical Research|Ionospheric transmission of transversely propagated plane waves at micropulsation frequencies and theoretical power spectrums
1965|42.0|2.0|Journal of Geophysical Research|Diurnal and latitudinal effects observed for 10kev electrons at low satellite altitudes
1966|39.0|1.0|Journal of Cell Biology|PRACTICAL STEREOLOGICAL METHODS FOR MORPHOMETRIC CYTOLOGY
1967|8.0|1.0|Information & Computation|The matrix minimum principle.
1968|28.0|1.0|Psychometrika|A general nonmetric technique for finding the smallest coordinate space for a configuration of points
1969|10.0|2.0|Philosophical Transactions of the Royal Society A|The Problem of Dirichlet for Quasilinear Elliptic Differential Equations with Many Independent Variables
1970|51.0|1.0|Journal of Geophysical Research|Vertical drift velocities and eastwest electric fields at the magnetic equator
1971|14.0|1.0|Journal of Geophysical Research|Radial gradient of cosmic rays from the Lost City meteorite
1972|10.0|1.0|Electrochimica Acta|Sintering and recrystallization of small metal particles. Loss of surface area by platinum-black fuel-cell electrocatalysts
1973|53.0|2.0|Communications in Mathematical Physics|Axioms for Euclidean Green's functions
1974|16.0|1.0|Biochimica et Biophysica Acta|The intestinal unstirred layer: Its surface area and effect on active transport kinetics
1975|65.0|1.0|Communications in Mathematical Physics|Particle creation by black holes
1976|55.0|2.0|Solar Energy|A design procedure for solar heating systems
1977|50.0|1.5|Journal of Geophysical Research|Equion, an Equatorial Ionospheric Irregularity Experiment
1978|92.0|2.0|Journal of Chemical Physics|Rotationally and vibrationally inelastic scattering in the rotational IOS approximation. Ultrasimple calculation of total (differential, integral, and transport) cross sections for nonspherical molecules
1979|34.0|2.0|Developmental Biology|Surface area change at fertilization: Resorption of the mosaic membrane
1980|78.0|2.0|ACM Computing Surveys|Representations for Rigid Solids: Theory, Methods, and Systems
1981|36.0|2.0|Advances in Mathematics|Generalized gradients of Lipschitz functionals
1982|47.0|1.0|ACM Computing Surveys|Computational Approaches to Image Understanding
1983|88.0|1.0|International Journal of Heat and Mass Transfer|PAPER 5 - A CALCULATION PROCEDURE FOR HEAT, MASS AND MOMENTUM TRANSFER IN THREE-DIMENSIONAL PARABOLIC FLOWS
1984|51.0|2.0|Geochimica et Cosmochimica Acta|Thermodynamic and kinetic constraints on reaction rates among minerals and aqueous solutions. II. Rate constants, effective surface area, and the hydrolysis of feldspar
1985|81.0|2.0|Neuroscience|Immunohistochemical localization of macrophages and microglia in the adult and developing mouse brain
1986|364.0|2.0||Learning internal representations by error propagation
1987|64.0|2.0|Journal of The Mechanics and Physics of Solids|Small-Scale Crack Bridging and the Fracture Toughness of Particulate-Reinforced Ceramics,
1988|121.0|2.0|Communications in Mathematical Physics|Topological sigma models
1989|187.0|2.0|Journal of the ACM|Learnability and the Vapnik-Chervonenkis dimension
1990|79.0|2.0|ACM Transactions on Graphics|Efficient ray tracing of volume data
1991|104.0|2.0|Journal of Applied Physics|Atmospheric impregnation of porous silicon at room temperature
1992|98.0|2.0|international conference on computer graphics and interactive techniques|Re-tiling polygonal surfaces
1993|106.0|2.0|Nuclear Physics|Phases of N=2 theories in two-dimensions
1994|147.0|2.0|Applied Physics Letters|Native-Oxide Defined Ring Contact for Low Threshold Vertical-Cavity Lasers
1995|125.0|2.0|Science|Structure of a hyperthermophilic tungstopterin enzyme, aldehyde ferredoxin oxidoreductase
