----  Field Name Automatic summarization: 
----  Field Level 2.0: 
----  Field Papers Number 1029:
----  All time max citation paper: Mining and summarizing customer reviews, 2004, (1379.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1984|5.0|5.0|international acm sigir conference on research and development in information retrieval|Computing text constituency: an algorithmic approach to the generation of text graphs
1985|0|0.0|conference of the european chapter of the association for computational linguistics|A rule-based approach to evaluating importance in descriptive texts
1986|0|0.0|Journal of Research in Reading|First vs second language comprehension: some evidence from text summarizing
1988|4.0|4.0|ACM Sigois Bulletin|Automatic generation of hypertext knowledge bases
1989|10.0|10.0|Information Processing and Management|Information extraction and text summarization using linguistic knowledge acquisition
1992|19.0|19.0|international conference on acoustics, speech, and signal processing|The use of emphasis to automatically summarize a spoken discourse
1993|22.0|22.0||Selective text utilization and text traversal
1995|9.0|2.0|Information Processing and Management|Generating summaries from event data
1996|23.0|7.0||Automatic text decomposition using text segments and text themes
1997|71.0|14.5||Using lexical chains for text summarization
1998|4.0|1.5||The Smart/Empire TIPSTER IR system
1999|77.0|8.5|international acm sigir conference on research and development in information retrieval|Summarizing text documents: sentence selection and evaluation metrics
2000|118.0|11.0|acm multimedia|Automatically extracting highlights for TV Baseball programs
2001|75.0|6.5|international world wide web conferences|Seeing the whole in parts: text summarization for web browsing on handheld devices
2002|84.0|4.0|acm/ieee joint conference on digital libraries|Time as essence for photo browsing through personal digital libraries
2003|39.0|4.0|north american chapter of the association for computational linguistics|Learning semantic constraints for the automatic discovery of part-whole relations
2004|305.0|7.0|knowledge discovery and data mining|Mining and summarizing customer reviews
2005|80.0|3.0|Proceedings of the IEEE|Video Adaptation: Concepts, Technologies, and Open Issues
2006|112.0|4.0|conference on information and knowledge management|Movie review mining and summarization
2007|91.0|5.0|Briefings in Bioinformatics|Frontiers of biomedical text mining: current progress
2008|68.0|3.0|international conference on management of data|Efficient aggregation for graph summarization
2009|89.0|3.0|international world wide web conferences|Rated aspect summarization of short comments
2010|126.0|3.0|Electroanalysis|A Decade with BismuthBased Electrodes in Electroanalysis
