----  Field Name Linear algebra
----  Field Level 2.0
----  Field Papers Number 136318
----  All time max citation paper Eigenfaces for recognition, 1991, (5974.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|4.0|4.0|Transactions of the American Mathematical Society|Integration and linear operations
1940|2.0|1.5|Transactions of the American Mathematical Society|On linear transformations
1944|0|0.0|Transactions of the American Mathematical Society|On the extension of linear transformations
1949|0|0.0|Mathematical Proceedings of the Cambridge Philosophical Society|The relativistic quantum mechanics of the elementary particles
1950|4.0|2.0|Transactions of the American Mathematical Society|A theorem of the Hahn-Banach type for linear transformations
1951|4.0|2.0|Proceedings of the American Mathematical Society|Completely reducible Lie algebras of linear transformations
1952|1.0|1.0|Journal of Chemical Physics|FORCE CONSTANTS AND CALCULATED THERMODYNAMIC PROPERTIES OF NITROSYL FLUORIDE
1953|8.0|2.5|Journal of Chemical Physics|SUBSTITUTED METHANES. XIV. VIBRATIONAL SPECTRA, POTENTIAL CONSTANTS, AND CALCULATED THERMODYNAMIC PROPERTIES OF BROMOCHLOROMETHANE
1954|12.0|1.5|Transactions of the American Mathematical Society|Iterative methods for solving partial difference equations of elliptic type
1955|4.0|3.0|Journal of Chemical Physics|Hybrid  Orbitals and Partial Double Bond Character in Covalent Complexes
1956|8.0|4.0|Journal of Chemical Physics|RotationVibration Spectra and the Molecular Constants of Cyclopropane and Cyclopropaned6
1957|0|0.0|Philosophical Magazine|K-CAPTURE IN CARBON 11
1958|2.0|0.0|Physica D: Nonlinear Phenomena|Spectral decomposition of the operator p2-q2
1959|21.0|5.0|Journal of Chemical Physics|Theory of the Phase Transition between Helix and Random Coil in Polypeptide Chains
1960|14.0|3.0|Journal of Chemical Physics|Some Considerations of Unimolecular Rate Theory
1961|11.0|1.5|Nuclear Physics|Theory of collective excitations of spherical nuclei with particular application to the giant dipole state
1962|41.0|3.5|Journal of Chemical Physics|Analysis of Complex NMR Spectra. An Iterative Method
1963|40.0|3.0|Journal of Chemical Physics|Theory of Linewidths in Electron Spin Resonance Spectra
1964|112.0|3.0|Nuclear Physics|Particle-hole description of carbon 12 and oxygen 16
1965|17.0|1.0|Nuclear Physics|Photoexcitation of M1 and E2 levels in O 16
1966|42.0|1.0|Nuclear Physics|On the theory of nuclear reactions: (I). Shell-model calculations in the continuum
1967|16.0|1.0|Proceedings of the IEEE|Matrix methods for field problems
1968|12.0|1.0|Bulletin of the American Mathematical Society|Nonlinear eigenvalue problems and Galerkin approximations
1969|15.0|1.0|Journal of Mathematical Analysis and Applications|On shooting methods for boundary value problems
1970|20.0|1.0|Planetary and Space Science|On the resonant modes of a cavity and the dynamical properties of micropulsations
1971|30.0|2.0|Journal of Geophysical Research|MOTION AND STRUCTURE OF THE MAGNETOPAUSE.
1972|14.0|1.0|Communications of The ACM|Matrix computations with Fortran and paging
1973|31.0|1.0|Journal of Ecology|Reciprocal averaging: an eigenvector method of ordination
1974|71.0|1.0|Communications of The ACM|HYDRA: the kernel of a multiprocessor operating system
1975|46.0|1.0|Reviews of Geophysics|Maximum entropy spectral analysis and autoregressive decomposition
1976|21.0|2.0|Icarus|A solitary wave theory of the Great Red Spot and other observed features in the Jovian atmosphere
1977|67.0|2.0|Journal of Geophysical Research|Determination of the threedimensional seismic structure of the lithosphere
1978|35.0|2.0|Journal of Chemical Physics|On the lzconserving energy sudden approximation for atomdiatom scattering
1979|29.0|1.0|Journal of Chemical Physics|Semiclassical calculation of bound states in multidimensional systems with Fermi resonance
1980|38.0|2.0|Journal of Chemical Physics|General kinetic models of activated processes in condensed phases
1981|37.0|1.0|Computers & Structures|A FAST INCREMENTAL/ITERATIVE SOLUTION PROCEDURE THAT HANDLES SNAP-THROUGH
1982|45.0|2.0|Journal of Computational Physics|Boundary-fitted coordinate systems for numerical solution of partial differential equationsA review
1983|28.0|2.0|Journal of Fluid Mechanics|Heat transfer and horizontally averaged temperature of convection with large viscosity variations
1984|115.0|2.0|Artificial Intelligence|Qualitative process theory
1985|58.0|2.0|Journal of Chemical Physics|A second order multiconfiguration SCF procedure with optimum convergence
1986|90.0|3.0|Journal of Chemical Physics|On distributed Gaussian bases for simple model multidimensional vibrational problems
1987|105.0|2.0|IEEE Transactions on Information Theory|The capacity of the Hopfield associative memory
1988|101.0|2.0|architectural support for programming languages and operating systems|A VLIW architecture for a trace scheduling compiler
1989|95.0|2.0|Communications in Mathematical Physics|Hidden ${\rm SL}(n)$ symmetry in conformal field theories
1990|259.0|2.0|Physics Letters B|Exactly solvable field theories of closed strings
1991|136.0|2.0|Journal of Cognitive Neuroscience|Eigenfaces for recognition
1992|122.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|A method for registration of 3-D shapes
1993|147.0|2.0|IEEE Transactions on Information Theory|Universal approximation bounds for superpositions of a sigmoidal function
1994|248.0|2.0|Signal Processing|Independent component analysis, a new concept?
1995|260.0|2.0|Human Brain Mapping|Spatial registration and normalization of images
1996|223.0|2.0|IEEE Transactions on Information Theory|Iterative decoding of binary block and convolutional codes
1997|336.0|2.0|Journal of Computational Physics|High resolution schemes for hyperbolic conservation laws
1998|587.0|2.0|IEEE Transactions on Information Theory|Space-time codes for high data rate wireless communication: performance criterion and code construction
1999|316.0|3.0|Journal of the ACM|Authoritative sources in a hyperlinked environment
2000|374.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Normalized cuts and image segmentation
2001|347.0|3.0|IEEE Transactions on Neural Networks|An introduction to kernel-based learning algorithms
2002|724.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Mean shift: a robust approach toward feature space analysis
2003|687.0|4.0|international world wide web conferences|The Eigentrust algorithm for reputation management in P2P networks
2004|740.0|4.0|IEEE Transactions on Automatic Control|Consensus problems in networks of agents with switching topology and time-delays
2005|436.0|4.0|Journal of Educational and Behavioral Statistics|Functional data analysis
2006|1330.0|3.0|IEEE Transactions on Information Theory|Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information
2007|904.0|3.0|Proceedings of the IEEE|Consensus and Cooperation in Networked Multi-Agent Systems
2008|728.0|3.0|Journal of Machine Learning Research|LIBLINEAR: A Library for Large Linear Classification
2009|804.0|2.0|Siam Journal on Imaging Sciences|A Fast Iterative Shrinkage-Thresholding Algorithm for Linear Inverse Problems
2010|927.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Object Detection with Discriminatively Trained Part-Based Models
