----  Field Name Atmospheric physics: 
----  Field Level 2.0: 
----  Field Papers Number 1401:
----  All time max citation paper: Climatology of mesopause region temperature, zonal wind, and meridional wind over Fort Collins, Colorado (41N, 105W), and comparison with model simulations, 2008, (930.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1965|67.0|26.0|Journal of Geophysical Research|Electron and molecular nitrogen temperature and density in the thermosphere.
1966|35.0|8.0|Journal of Geophysical Research|Atmospheric composition in the lower thermosphere.
1967|15.0|15.0|Journal of Geophysical Research|Generation of turbulence in the upper atmosphere by internal gravity waves.
1968|41.0|5.0|Journal of Geophysical Research|Mass spectrometric studies of the composition of the lower thermosphere during summer 1967
1969|20.0|9.0|Journal of Geophysical Research|Full wave calculations of gravity wave propagation through the thermosphere
1970|30.0|6.5|Planetary and Space Science|Eddy mixing and circulation at ionospheric levels
1971|58.0|9.0|Planetary and Space Science|Electrodynamic heating and movement of the thermosphere
1972|48.0|15.0|Journal of Geophysical Research|Convection electric fields and polar thermospheric winds.
1973|44.0|7.0|Planetary and Space Science|Auroral heating and the composition of the neutral atmosphere.
1974|107.0|10.5|Journal of Geophysical Research|Empirical model of global thermospheric temperature and composition based on data from the Ogo 6 quadrupole mass spectrometer
1975|36.0|14.5|Journal of Geophysical Research|The aeronomy of odd nitrogen in the thermosphere
1976|36.0|13.0|Journal of Geophysical Research|Direct measurements of nighttime thermospheric winds and temperatures 1. Seasonal variations during geomagnetic quiet periods
1977|128.0|9.5|Journal of Geophysical Research|A global thermospheric model based on mass spectrometer and incoherent scatter data MSIS, 2. Composition
1978|28.0|4.0|Icarus|Cloud microphysics: Analysis of the clouds of Earth, Venus, Mars and Jupiter
1979|46.0|6.0|Geophysical Research Letters|Ionization frequencies for major thermospheric constituents as a function of solar cycle 21
1980|33.0|3.0|Journal of Geophysical Research|Mass spectrometric measurements of the neutral gas composition of the thermosphere and exosphere of Venus
1981|26.0|6.5|Journal of Atmospheric and Solar-Terrestrial Physics|Spread F Theories - A Review.
1982|26.0|6.0|Reviews of Geophysics|The role of metastable species in the thermosphere
1983|107.0|6.5|Journal of Geophysical Research|A Revised thermospheric model based on mass spectrometer and incoherent scatter data: MSIS83
1984|46.0|7.0|Journal of Geophysical Research|The vertical distribution of ozone in the mesosphere and lower thermosphere
1985|40.0|7.0|Journal of Geophysical Research|Ionization frequencies for solar cycle 21: Revised
1986|37.0|7.0|Planetary and Space Science|A theoretical and empirical study of the response of the high latitude thermosphere to the sense of the  Y  component of the interplanetary magnetic field
1987|159.0|5.5|Journal of Geophysical Research|MSIS86 Thermospheric Model
1988|29.0|4.0|Journal of Geophysical Research|Empirical global model of upper thermosphere winds based on Atmosphere and Dynamics Explorer satellite data
1989|29.0|3.0|Geophysical Research Letters|How will changes in carbon dioxide and methane modify the mean structure of the mesosphere and thermosphere?
1990|23.0|5.0|Geophysical Research Letters|Role of carbon dioxide in cooling planetary thermospheres
1991|81.0|9.0|Journal of Geophysical Research|Revised global model of thermosphere winds using satellite and groundbased observations
1992|34.0|4.0|Geophysical Research Letters|A thermosphere/ionosphere general circulation model with coupled electrodynamics
1993|36.0|5.0|Journal of Geophysical Research|The highresolution doppler imager on the Upper Atmosphere Research Satellite
1994|38.0|3.0|Journal of Geophysical Research|Response of the thermosphere and ionosphere to geomagnetic storms
1995|82.0|6.0|Geophysical Research Letters|On modeling migrating solar tides
1996|37.0|5.0|Journal of Geophysical Research|Comparison of U.K. Meteorological Office and U.S. National Meteorological Center stratospheric analyses during northern and southern winter
1997|29.0|3.0|Journal of Geophysical Research|A wellcalibrated ocean algorithm for special sensor microwave / imager
1998|14.0|3.0|Journal of Atmospheric and Solar-Terrestrial Physics|Modelling composition changes in F-layer storms
1999|13.0|8.0|Meteoritics & Planetary Science|The 1998 Leonid multiinstrument aircraft campaignan early review
2000|10.0|1.0|World Bank Research Observer|International Approaches to Global Climate Change
2001|79.0|2.0|Reviews of Geophysics|Stratospheric temperature trends: Observations and model simulations
2002|16.0|4.0|Journal of Geophysical Research|Mars' upper atmosphere and ionosphere at low, medium, and high solar activities: Implications for evolution of water
2003|50.0|3.0|Geophysical Research Letters|African dust aerosols as atmospheric ice nuclei
2004|33.0|3.5|Journal of Geophysical Research|Global change in the thermosphere: Compelling evidence of a secular decrease in density
2005|57.0|6.0|Journal of Geophysical Research|Solar EUV Experiment (SEE): Mission overview and first results
2006|43.0|5.0|Journal of Geophysical Research|Role of climate change in global predictions of future tropospheric ozone and aerosols
2007|38.0|4.0|Journal of Geophysical Research|Horizontal and vertical propagation and dissipation of gravity waves in the thermosphere from lower atmospheric and thermospheric sources
2008|590.0|6.0|Journal of Geophysical Research|Climatology of mesopause region temperature, zonal wind, and meridional wind over Fort Collins, Colorado (41N, 105W), and comparison with model simulations
2009|60.0|5.0|Atmospheric Chemistry and Physics|The potential contribution of organic salts to new particle growth
2010|689.0|6.0|Journal of Geophysical Research|Investigating the southern daytime midlatitude trough's relation with the daytime Weddell Sea Anomaly during equinoxes
