----  Field Name Seismic anisotropy: 
----  Field Level 2.0: 
----  Field Papers Number 2796:
----  All time max citation paper: Preliminary reference Earth model, 1981, (2605.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|6.0|6.0|Journal of Geophysical Research|Ultrasonic observation of the calcitearagonite transition
1964|1.0|1.0|Geophysical Journal International|Upper Mantle Inhomogeneity and the Low Velocity Zone
1966|11.0|5.0|Journal of Geophysical Research|Temperature dependence of the velocity derivatives of periclase
1967|3.0|3.0|Journal of Geophysical Research|On the distributions of density and temperature in the lowvelocity zone
1968|17.0|5.0|Nature|Stability of Hornblende and a Model for the Low Velocity Zone
1969|1.0|1.0|Nature|Generation of Seismic Anisotropy in the Upper Mantle along the Mid-Oceanic Ridges
1970|23.0|11.0|Journal of Geophysical Research|Reflection of PP seismic waves from discontinuities in the mantle
1971|24.0|17.0|Journal of Geophysical Research|Seafloor spreading as thermal convection
1972|6.0|1.0|Journal of Geophysical Research|Elasticity and anisotropy of dunite and bronzitite
1973|68.0|4.0|Geochimica et Cosmochimica Acta|A pyroxene geotherm
1974|67.0|3.0|Geochimica et Cosmochimica Acta|The mineralogy, geochemistry and origin of Iherzolite inclusions in Victorian basanites
1975|24.0|12.0|Geophysical Research Letters|A study of lateral inhomogeneities in the upper mantle by multiple Scs traveltime residuals
1976|55.0|9.0|Journal of Geophysical Research|An Earth Model based on free oscillations and body waves
1977|47.0|6.0|Journal of Geophysical Research|Viscoelastic properties of fluidsaturated cracked solids
1978|53.0|9.0|Earth and Planetary Science Letters|Ultramafic inclusions from San Carlos, Arizona - Petrologic and geochemical data bearing on their petrogenesis
1979|23.0|4.0|Journal of Geophysical Research|Travel time inversion: A geometrical approach
1980|26.0|4.0|Reviews of Geophysics|A new look at the seismic velocity structure of the oceanic crust
1981|113.0|6.0|Physics of the Earth and Planetary Interiors|Preliminary reference Earth model
1982|14.0|4.0|Journal of Geophysical Research|Constraints on the structure of the East Pacific Rise from gravity
1983|6.0|3.0|Journal of Geophysical Research|Present seismic evidence for a boundary layer at the base of the mantle
1984|24.0|7.0|Journal of Geophysical Research|Origin of Hawaiian tholeiite: A metasomatic model
1985|15.0|3.0|Journal of Geophysical Research|Seismic anisotropy in the upper oceanic crust
1986|16.0|8.0|Reviews of Geophysics|Depth determination for shallow teleseismic earthquakes: Methods and results
1987|32.0|3.5|Reviews of Geophysics|Coincident seismic reflection/refraction studies of the continental lithosphere: A global review
1988|21.0|4.0|Journal of Geophysical Research|Shear wave splitting in the Anza Seismic Gap, southern california: Temporal Variations as possible precursors
1989|23.0|4.0|Journal of Geophysical Research|The use of laboratory velocity data for estimating temperature and partial melt fraction in the lowvelocity zone: Comparison with heat flow and electrical conductivity studies
1990|35.0|3.0|Journal of Geophysical Research|The structure of 0 to 0.2m.y.old oceanic crust at 9N on the East Pacific Rise from expanded spread profiles
1991|61.0|4.0|Journal of Geophysical Research|Shear wave splitting and subcontinental mantle deformation
1992|31.0|5.0|Journal of Geophysical Research|Microearthquake Characteristics of a MidOcean Ridge alongaxis high
1993|39.0|5.0|Physics of the Earth and Planetary Interiors|Travel-time tomography of the European-Mediterranean mantle down to 1400 km
1994|43.0|6.0|Journal of Geophysical Research|Shear wave anisotropy beneath the Tibetan Plateau
1995|34.0|6.0|Reviews of Geophysics|Lithosphere, asthenosphere, and perisphere
1996|34.0|6.0|Geophysical Journal International|Uppermantle shear velocity beneath eastern Australia from inversion of waveforms from SKIPPY portable arrays
1997|53.0|5.5|Journal of Parallel and Distributed Computing|MPI-FM: high performance MPI on workstation clusters
1998|64.0|6.0|Nature|The unique anisotropy of the Pacific upper mantle
1999|107.0|8.0|Reviews of Geophysics|Seismic anisotropy and mantle deformation: What have we learned from shear wave splitting?
2000|64.0|8.0|Geophysical Journal International|The threedimensional shear velocity structure of the mantle from the inversion of body, surface and highermode waveforms
2001|40.0|8.0|Geophysical Research Letters|Crustal structure beneath southern Africa and its implications for the formation and evolution of the Kaapvaal and Zimbabwe cratons
2002|53.0|8.0|Geophysical Journal International|Active tectonics of the South Caspian Basin
2003|146.0|9.0|Annual Review of Earth and Planetary Sciences|SEISMIC ANISOTROPY BENEATH THE CONTINENTS: Probing the Depths of Geology
2004|74.0|8.0|Geophysical Journal International|Interferometric/daylight seismic imaging
2005|112.0|8.0|Earth and Planetary Science Letters|The seismological signature of temperature and grain size variations in the upper mantle
2006|103.0|9.5|Earth and Planetary Science Letters|The thermal structure of the lithosphere from shear wave velocities
2007|126.0|8.0|Gondwana Research|Superplume, supercontinent, and post-perovskite: Mantle dynamics and anti-plate tectonics on the CoreMantle Boundary
2008|1010.0|10.0|Cell|Mechanisms and Functional Implications of Adult Neurogenesis
2009|147.0|9.0|Nature|Theoretical and experimental evidence for a post-perovskite phase of MgSiO3 in Earth's D" layer
2010|294.0|10.0|Precambrian Research|Assembling North China Craton within the Columbia supercontinent: The role of double-sided subduction
