----  Field Name Functional neuroimaging: 
----  Field Level 2.0: 
----  Field Papers Number 2230:
----  All time max citation paper: Thresholding of statistical maps in functional neuroimaging using the false discovery rate, 2002, (2701.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1993|5.0|5.0|Behavior Research Methods|Functional magnetic resonance imaging: Overview and methods for psychological research
1994|9.0|6.0|Human Brain Mapping|Data analysis paradigms for metabolicflow data: Combining neural modeling and functional neuroimaging
1995|61.0|15.0|Magnetic Resonance in Medicine|Discrimination of Large Venous Vessels in TimeCourse Spiral BloodOxygenLevelDependent MagneticResonance Functional Neuroimaging
1996|159.0|8.5|Proceedings of the National Academy of Sciences of the United States of America|Detection of cortical activation during averaged single trials of a cognitive task using functional magnetic resonance imaging
1997|165.0|22.0|Human Brain Mapping|Selective averaging of rapidly presented individual trials using fMRI.
1998|172.0|25.0|Brain|A neuromodulatory role for the human amygdala in processing emotional facial expressions.
1999|189.0|28.0|NeuroImage|Multisubject fMRI studies and conjunction analyses.
2000|272.0|18.0|Trends in Neurosciences|Common regions of the human frontal lobe recruited by diverse cognitive demands
2001|160.0|14.0|Current Opinion in Neurobiology|Neuroimaging of cognitive functions in human parietal cortex
2002|610.0|24.0|NeuroImage|Thresholding of statistical maps in functional neuroimaging using the false discovery rate
2003|333.0|28.0|Annual Review of Psychology|Episodic Memory: From Mind to Brain
2004|300.0|15.0|Progress in Neurobiology|The functional neuroanatomy of the human orbitofrontal cortex: evidence from neuroimaging and neuropsychology
2005|246.0|20.0|Human Brain Mapping|N-back working memory paradigm: A meta-analysis of normative functional neuroimaging studies
2006|495.0|20.0|Brain|The precuneus: a review of its functional anatomy and behavioural correlates
2007|359.0|22.0|American Journal of Psychiatry|Functional Neuroimaging of Anxiety: A Meta-Analysis of Emotional Processing in PTSD, Social Anxiety Disorder, and Specific Phobia
2008|305.0|23.0|Nature Reviews Neuroscience|The parietal cortex and episodic memory: an attentional account.
2009|681.0|18.0|Cerebral Cortex|Where Is the Semantic System? A Critical Review and Meta-Analysis of 120 Functional Neuroimaging Studies
2010|276.0|18.0|European Neuropsychopharmacology|Exploring the brain network: A review on resting-state fMRI functional connectivity
