----  Field Name Machine translation: 
----  Field Level 2.0: 
----  Field Papers Number 15412:
----  All time max citation paper: Controlling the false discovery rate: a practical and powerful approach to multiple testing, 1995, (16286.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|0|0.0||A method of voice communication with a digital computer
1962|1.0|1.0|Proceedings of The Institute of Radio Engineers|Introduction to the Theory of VLF Propagation
1964|3.0|1.0|Journal of Verbal Learning and Verbal Behavior|Alternation of rules in children's grammar
1965|3.0|2.0||Experiments in Semantic Classification
1966|3.0|1.0|Attention Perception & Psychophysics|Tactile perception of sequentially presented spatial patterns
1967|35.0|1.0|Journal of the ACM|Stack automata and compiling
1968|1.0|1.0|Attention Perception & Psychophysics|Short-term recognition memory for pitch: Effect of a priori probability on response times and error rates
1969|8.0|5.0|Information & Computation|SOME DECIDABILITY RESULTS ON GRAMMATICAL INFERENCE AND COMPLEXITY,
1970|36.0|2.0|Communications of The ACM|Transition network grammars for natural language analysis
1971|6.0|2.0|Pattern Recognition|On the problem of bias in error rate estimation for discriminant analysis
1972|15.0|1.0|Communications of The ACM|Generating English discourse from semantic networks
1973|20.0|1.5|Attention Perception & Psychophysics|Comparing objects in memory: Evidence suggesting an internal psychophysics
1974|17.0|2.0|Proceedings of the IEEE|The art of natural graphic man&#8212;Machine conversation
1975|19.0|2.0|Artificial Intelligence|Case Systems for Natural Language
1976|11.0|2.5|IEEE Transactions on Computers|A Method for the Correction of Garbled Words Based on the Levenshtein Metric
1977|17.0|0.0|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|A Syntactic Approach to Texture Analysis.
1978|14.0|2.0|Memory & Cognition|Phonological recoding and lexical access
1979|64.0|2.0|Annals of Statistics|Bootstrap Methods: Another Look at the Jackknife
1980|41.0|3.0|Communications of The ACM|Measured performance of an Ethernet local network
1981|10.0|2.0|Information Processing and Management|The use of trigram analysis for spelling error detection
1982|17.0|3.0|symposium on principles of database systems|Sacrificing serializability to attain high availability of data in an unreliable network
1983|14.0|2.5|Molecular Genetics and Genomics|Ram ribosomes are defective proofreaders
1984|10.0|1.0|IEEE Transactions on Communications|Data Compression Using Adaptive Coding and Partial String Matching
1985|19.0|2.0|Computational Linguistics|A survey of machine translation: its history, current status, and future prospects
1986|19.0|3.0|Pattern Recognition Letters|Recent advances in error rate estimation
1987|42.0|2.0|Artificial Intelligence|Learning one subprocedure per lesson
1988|61.0|2.0|Science|Fidelity of HIV-1 reverse transcriptase.
1989|48.0|3.0|international joint conference on artificial intelligence|An empirical comparison of pattern recognition, neural nets, and machine learning classification methods
1990|74.0|3.0|Computational Linguistics|A statistical approach to machine translation
1991|41.0|2.0|meeting of the association for computational linguistics|Word-sense disambiguation using statistical methods
1992|52.0|2.0|IEEE Transactions on Software Engineering|The detection of fault-prone programs
1993|82.0|3.0|IEEE Transactions on Signal Processing|Matching pursuits with time-frequency dictionaries
1994|49.0|2.0|national conference on artificial intelligence|Building a large-scale knowledge base for machine translation
1995|144.0|3.0|international conference on machine learning|Fast Effective Rule Induction
1996|114.0|2.0|IEEE Computer|Role-based access control models
1997|163.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Eigenfaces vs. Fisherfaces: recognition using class specific linear projection
1998|146.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|Assessing sequence comparison methods with reliable structurally identified distant evolutionary relationships
1999|134.0|4.0|IEEE Journal on Selected Areas in Communications|Simplified processing for high spectral efficiency wireless communication employing multi-element arrays
2000|235.0|3.0|American Journal of Human Genetics|A general test of association for quantitative traits in nuclear families.
2001|1006.0|5.0|American Journal of Human Genetics|A New Statistical Method for Haplotype Reconstruction from Population Data
2002|610.0|5.0|NeuroImage|Thresholding of statistical maps in functional neuroimaging using the false discovery rate
2003|265.0|5.0|international acm sigir conference on research and development in information retrieval|Automatic image annotation and retrieval using cross-media relevance models
2004|272.0|5.0|IEEE Transactions on Information Theory|Greed is good: algorithmic results for sparse approximation
2005|503.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Face recognition using Laplacianfaces
2006|345.0|4.0|BMC Bioinformatics|ARACNE: An Algorithm for the Reconstruction of Gene Regulatory Networks in a Mammalian Cellular Context
2007|429.0|4.0|Genome Biology|Accuracy and quality of massively parallel DNA pyrosequencing
2008|371.0|3.0|Nucleic Acids Research|Substantial biases in ultra-short read data sets from high-throughput DNA sequencing
2009|728.0|2.0|Journal of Biomolecular NMR|TALOS+: a hybrid method for predicting protein backbone torsion angles from NMR chemical shifts.
2010|4648.0|3.0|Bioinformatics|Fast and accurate long-read alignment with BurrowsWheeler transform
