----  Field Name Planetary science: 
----  Field Level 2.0: 
----  Field Papers Number 24277:
----  All time max citation paper: The composition of the Earth, 1995, (3800.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1949|2.0|2.0|Eos, Transactions American Geophysical Union|Significance of radioactivity in geophysics  Thermal history of the Earth
1953|9.0|9.0|Geochimica et Cosmochimica Acta|THE GEOCHEMISTRY OF THE STABLE CARBON ISOTOPES
1954|2.0|2.0|Geochimica et Cosmochimica Acta|Contribution of metallurgy to the origin of meteorites: Part IStructure of metallic meteorites, their composition and the effect of pressure
1956|0|0.0|Vistas in Astronomy|The Harvard photographic meteor programme
1957|4.0|4.0|Geochimica et Cosmochimica Acta|The isotope geology of oxygen
1959|1.0|1.0||SPACE VEHICLE ENVIRONMENT,
1960|30.0|6.0|Geochimica et Cosmochimica Acta|Determinations of concentrations of heavy elements in meteorites by activation analysis
1961|8.0|5.5|Geochimica et Cosmochimica Acta|SULPHUR ISOTOPE GEOCHEMISTRY
1962|22.0|6.0|Icarus|EVIDENCE FROM THE MOON'S SURFACE FEATURES FOR THE PRODUCTION OF LUNAR GRANITES
1963|30.0|3.0|Geochimica et Cosmochimica Acta|Olivine composition in chondrites
1964|49.0|7.0|Reviews of Geophysics|A review of atomic abundances in chondrites and the origin of meteorites
1965|28.0|6.0|Journal of Geophysical Research|The magnetohydrodynamic wake of the Moon
1966|45.0|5.0|Geochimica et Cosmochimica Acta|Chemical evolution of the terrestrial planets
1967|101.0|5.0|Geochimica et Cosmochimica Acta|Chemical fractionations in meteoritesII. Abundance patterns and their interpretation
1968|40.0|4.0|Geochimica et Cosmochimica Acta|Origin of organic matter in early solar system. I - Hydrocarbons.
1969|23.0|2.0|Journal of Geophysical Research|Experimental evidence for a detached lunar compression wave
1970|70.0|4.0|Geochimica et Cosmochimica Acta|Phenocryst-matrix partition coefficients for K, Rb, Sr and Ba, with applications to anorthosite and basalt genesis
1971|45.0|5.0|Geochimica et Cosmochimica Acta|Chemical fractionations in meteoritesIV abundances of fourteen trace elements in L-chondrites; implications for cosmothermometry
1972|91.0|4.0|Geochimica et Cosmochimica Acta|Condensation in the primitive solar nebula
1973|69.0|5.0|Science|A Component of Primitive Nuclear Composition in Carbonaceous Meteorites
1974|50.0|4.0|Reviews of Geophysics|Early chemical history of the solar system
1975|63.0|5.0|Science|Host phase of a strange xenon component in Allende
1976|33.0|3.0|Journal of Geophysical Research|Heavy ions from the Galilean satellites and the centrifugal distortion of the Jovian magnetosphere
1977|67.0|4.5|Science|Mars and Earth: Origin and Abundance of Volatiles
1978|54.0|4.0|Geochimica et Cosmochimica Acta|Rare-earth abundances in chondritic meteorites
1979|40.0|4.0|Icarus|Climatic change on the terrestrial planets
1980|36.0|6.0|Journal of Geophysical Research|Measurements of thermal structure and thermal contrasts in the atmosphere of Venus and related dynamical observations - Results from the four Pioneer Venus probes
1981|34.0|5.0|Journal of Geophysical Research|Ascent and eruption of basaltic magma on the Earth and Moon
1982|72.0|4.5|Geochimica et Cosmochimica Acta|Solar-system abundances of the elements
1983|62.0|4.0|Cognitive Psychology|Schema induction and analogical transfer
1984|26.0|6.0|Nature|Terrestrial mass extinctions, cometary impacts and the sun's motion perpendicular to the galactic plane
1985|68.0|4.0|ACM Transactions on Programming Languages and Systems|MULTILISP: a language for concurrent symbolic computation
1986|28.0|3.0|Icarus|Global distribution and migration of subsurface ice on Mars
1987|44.0|3.0|Journal of Geophysical Research|Origin and evolution of fluctuations in the solar wind: Helios observations and HeliosVoyager comparisons
1988|29.0|4.0|Icarus|Evolution of a steam atmosphere during earth's accretion
1989|214.0|4.0|Geochimica et Cosmochimica Acta|Abundances of the elements - Meteoritic and solar
1990|46.0|4.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|An overview of the SPHINX speech recognition system
1991|73.0|3.0|Geochimica et Cosmochimica Acta|Shock metamorphism of ordinary chondrites
1992|106.0|3.0|JAMA|Variations in Resource Utilization Among Medical Specialties and Systems of Care: Results From the Medical Outcomes Study
1993|53.0|4.0|JAMA|Physician inpatient order writing on microcomputer workstations : effects on resource utilization
1994|34.0|3.0||Constraint multiset grammars
1995|184.0|3.0|Chemical Geology|The composition of the Earth
1996|71.0|2.0|Geochimica et Cosmochimica Acta|Oxygen isotope studies of achondrites
1997|68.0|4.0|Nature|Core formation on Mars and differentiated asteroids
1998|109.0|5.0|Science|Biogeochemical Controls and Feedbacks on Ocean Primary Production
