----  Field Name String theory: 
----  Field Level 2.0: 
----  Field Papers Number 11596:
----  All time max citation paper: Gauge theory correlators from noncritical string theory, 1998, (2384.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|3.0|3.0|Proceedings of the American Mathematical Society|Wallman-type compactifications
1971|9.0|5.0|Transactions of the American Mathematical Society|Some examples in topology
1972|4.0|4.0|Proceedings of the American Mathematical Society|The subcontinua of a dendron form a Hilbert cube factor
1974|0|0.0|Transactions of the American Mathematical Society|Uniformly distributed sequences in locally compact groups. II
1975|12.0|6.0|Communications of The ACM|Multiprocessing compactifying garbage collection
1976|1.0|1.0|Transactions of the American Mathematical Society|Algebras of functions on semitopological left-groups
1977|1.0|0.5|Transactions of the American Mathematical Society|Continua whose cone and hyperspace are homeomorphic
1978|8.0|4.0|Communications of The ACM|A time- and space-efficient garbage compaction algorithm
1979|13.0|6.5|Vision Research|The versatility and absolute efficiency of detecting mirror symmetry in random dot displays
1981|3.0|1.0|Transactions of the American Mathematical Society|Singular sets and remainders
1982|37.0|37.0|The International Journal of Robotics Research|Recognizing and Locating Partially Visible Objects: The Local-Feature-Focus Method
1983|3.0|2.0|Inventiones Mathematicae|Eine Anwendung des Satzes von Calabi-Yau auf Familien kompakter komplexer Mannigfaltigkeiten
1984|6.0|1.0|Journal of Chemical Physics|Symmetry reductionvibronically induced mode mixing in the S1 state of methylnaphthalene
1985|38.0|2.0|Communications in Mathematical Physics|Global gravitational anomalies
1986|96.0|5.0|Communications in Mathematical Physics|Theta functions, modular invariance, and strings
1987|46.0|3.0|Physics Letters B|Supermembranes and eleven-dimensional supergravity
1988|121.0|3.0|Communications in Mathematical Physics|Topological sigma models
1989|112.0|3.0|Physics Letters B|Strings in less than one dimension and the generalized KdV hierarchies
1990|69.0|2.0|Nuclear Physics|Mean field theory, topological field theory, and multi-matrix models
1991|54.0|3.0|Nuclear Physics|Ground Ring Of Two Dimensional String Theory
1992|65.0|3.0|Physics Letters B|Black p-brane solutions of D=11 supergravity theory
1993|106.0|3.0|Nuclear Physics|Phases of N=2 theories in two-dimensions
1994|142.0|4.0|Nuclear Physics|Unity of Superstring Dualities
1995|481.0|4.0|Nuclear Physics|String theory dynamics in various dimensions
1996|188.0|7.0|Physics Letters B|Microscopic origin of the Bekenstein-Hawking entropy
1997|72.0|4.0|Nuclear Physics|Gauge-invariant and gauge-fixed D-brane actions
1998|443.0|5.0|Physics Letters B|Gauge theory correlators from noncritical string theory
1999|230.0|5.0|international conference on software engineering|N degrees of separation: multi-dimensional separation of concerns
2000|153.0|7.0|Journal of Mathematical Physics|Superstrings and Topological Strings at Large N
2001|192.0|6.0|Journal of High Energy Physics|Realistic anomaly mediation with bulk gauge fields
2002|353.0|18.0|Journal of High Energy Physics|NS5-Branes, T-Duality and Worldsheet Instantons
2003|239.0|14.5|Journal of High Energy Physics|Precision spectroscopy of AdS / CFT
2004|242.0|12.0|Journal of High Energy Physics|Classical/quantum integrability in AdS/CFT
2005|229.0|10.0|Nuclear Physics|Long-Range PSU(2,2|4) Bethe Ansaetze for Gauge Theory and Strings
2006|176.0|9.0|Journal of High Energy Physics|On gravitational description of Wilson lines
2007|339.0|12.0|Journal of High Energy Physics|Gluon scattering amplitudes at strong coupling
2008|223.0|9.5|Physical Review D|Breaking an Abelian gauge symmetry near a black hole horizon
2009|327.0|10.0|Classical and Quantum Gravity|Lectures on holographic methods for condensed matter physics
2010|353.0|11.0|Letters in Mathematical Physics|Review of AdS/CFT Integrability: An Overview
