----  Field Name Phage ecology: 
----  Field Level 2.0: 
----  Field Papers Number 7910:
----  All time max citation paper: Characterization of marine and terrestrial DOM in seawater using excitation-emission matrix spectroscopy, 1996, (979.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1957|5.0|5.0|Botanical Review|Interrelations of dissolved organic matter and phytoplankton
1960|7.0|7.0|Geochimica et Cosmochimica Acta|Recovery of dissolved organic matter in sea-water and organic sorption by particulate material
1961|13.0|13.0|Netherlands Journal of Sea Research|Dissolved organic carbon, nitrogen and phosphorus in the sea
1963|1.0|1.0|Netherlands Journal of Sea Research|The production of dissolved organic matter in the sea, as related to the primary gross production of organic matter
1964|4.0|4.0|Deep Sea Research and Oceanographic Abstracts|The distribution of dissolved organic carbon in the Western Indian Ocean
1966|5.0|5.0|Chemical Geology|Isotopic variations of dissolved inorganic carbon
1967|4.0|3.5|Journal of Phycology|INFLUENCE OF METHOD FOR REMOVAL OF SESTON ON THE DISSOLVED ORGANIC MATTER1
1968|3.0|3.0|Nature|STABLE CARBON ISOTOPES IN THE DISSOLVED ORGANIC MATTER OF THE SEA.
1969|38.0|2.0|Journal of Geophysical Research|Abyssal carbon and radiocarbon in the Pacific
1970|17.0|8.0|Geochimica et Cosmochimica Acta|Interaction of organic compounds with calcium carbonateI. Association phenomena and geochemical implications
1971|29.0|7.0|Marine Biology|Release of dissolved organic matter from natural populations of marine phytoplankton
1972|10.0|7.5|Journal of Geophysical Research|Trace metal enrichment in the seasurface microlayer
1973|22.0|13.0|Geochimica et Cosmochimica Acta|Solubilization of hydrocarbons by the dissolved organic matter in sea water
1974|14.0|9.5|Nature|Humic substances from seawater
1975|10.0|5.0|Geochimica et Cosmochimica Acta|Observations on the association between mercury and organic matter dissolved in natural waters
1976|67.0|9.0|Geochimica et Cosmochimica Acta|Flocculation of dissolved organic and inorganic matter during the mixing of river water and seawater
1977|45.0|14.0|Geochimica et Cosmochimica Acta|The mechanism of iron removal in estuaries
1978|41.0|5.0|Earth and Planetary Science Letters|The removal of dissolved humic acids and iron during estuarine mixing
1979|39.0|5.0|Geochimica et Cosmochimica Acta|The behaviour of dissolved organic material, iron and manganese in estuarine mixing
1980|17.0|6.0|Marine Biology|Bacterioplankton in the Coastal Euphotic Zone: Distribution, Activity and Possible Relationships with Phytoplankton
1981|36.0|4.0|Marine Chemistry|Isolation of dissolved organic matter and copper-organic complexes from estuarine waters using reverse-phase liquid chromatography
1982|30.0|4.5|Limnology and Oceanography|Organic matter and the surface charge of suspended particles in estuarine waters1
1983|29.0|6.0|Geochimica et Cosmochimica Acta|Conservative behaviour of riverine dissolved organic carbon in the Severn Estuary: chemical and geochemical implications
1984|17.0|4.0|Marine Biology|A simulation analysis of continental shelf food webs
1985|29.0|5.0|Environmental Toxicology and Chemistry|Predicting the bioavailability of organic xenobiotics to Pontoporeia hoyi in the presence of humic and fulvic materials and natural dissolved organic matter
1986|25.0|5.0|Geochimica et Cosmochimica Acta|Biogeochemistry of PCBs in interstitial waters of a coastal marine sediment
1987|34.0|4.0|Geochimica et Cosmochimica Acta|Early diagenesis of amino acids and organic matter in two coastal marine sediments
1988|149.0|3.0|Marine Chemistry|A high-temperature catalytic oxidation method for the determination of non-volatile dissolved organic carbon in seawater by direct injection of a liquid sample
1989|39.0|4.0|Geochimica et Cosmochimica Acta|13C and 18O isotopic disequilibrium in biological carbonates: I. Patterns
1990|27.0|5.0|Journal of Geophysical Research|Precipitation chemistry in central Amazonia.
1991|28.0|4.0|Aquatic Toxicology|The interaction of pH, dissolved organic carbon, and total copper in the determination of ionic copper and toxicity
1992|26.0|6.0|Marine Chemistry|The fluorescence of dissolved organic matter in seawater
1993|29.0|5.0|Journal of Geophysical Research|Optical absorption spectra of waters from the Orinoco River outflow: Terrestrial input of colored organic matter to the Caribbean
1994|51.0|5.0|Marine Chemistry|Partitioning of Cu, Pb, Ag, Zn, Fe, Al, and Mn between filter-retained particles, colloids, and solution in six Texas estuaries
1995|41.0|4.0|Limnology and Oceanography|Natural photolysis by ultraviolet irradiance of recalcitrant dissolved organic matter to simple substrates for rapidbacterial metabolism
1996|73.0|6.0|Limnology and Oceanography|Bacterial utilization of different size classes of dissolved organic matter
1997|85.0|5.0|Nature|Effect of seawater carbonate concentration on foraminiferal carbon and oxygen isotopes
1998|117.0|6.0|Nature|Silicate regulation of new production in the equatorial Pacific upwelling
1999|70.0|7.0|Earth and Planetary Science Letters|Gas hydrate destabilization: enhanced dewatering, benthic material turnover and large methane plumes at the Cascadia convergent margin
2000|123.0|8.0|Soil Science|Controls on the dynamics of dissolved organic matter in soils: a review.
2001|93.0|8.0|Limnology and Oceanography|Spectrofluorometric characterization of dissolved organic matter for indication of precursor organic material and aromaticity
2002|97.0|10.0|Estuaries|Harmful algal blooms and eutrophication: nutrient sources, composition, and consequences.
2003|106.0|10.0|Applied and Environmental Microbiology|Oligonucleotide Microarray for the Study of Functional Gene Diversity in the Nitrogen Cycle in the Environment
2004|140.0|10.0|Nature|Export of dissolved organic carbon from peatlands under elevated carbon dioxide levels
2005|291.0|10.0|Geophysical Research Letters|A decrease in discharge-normalized DOC export by the Yukon River during summer through autumn
2006|113.0|11.0|Global Change Biology|Alternative explanations for rising dissolved organic carbon export from organic soils
2007|282.0|10.0|Nature|Dissolved organic carbon trends resulting from changes in atmospheric deposition chemistry
2008|216.0|11.0|Limnology and Oceanography|Absorption spectral slopes and slope ratios as indicators of molecular weight, source, and photobleaching of chromophoric dissolved organic matter
2009|339.0|11.0|Limnology and Oceanography|Lakes and reservoirs as regulators of carbon cycling and climate
2010|395.0|12.0|Geophysical Research Letters|The 13C Suess effect in scleractinian corals mirror changes in the anthropogenic CO2 inventory of the surface oceans
