----  Field Name Statistical graphics
----  Field Level 2.0
----  Field Papers Number 95412
----  All time max citation paper An improved method of constructing a database of monthly climate observations and associated high-resolution grids, 2005, (2065.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1926|3.0|3.0|Journal of Dairy Science|The Effect of Environmental Temperature on the Percentage of Fat in Cow's Milk
1927|1.0|1.0|Development Genes and Evolution|SEASONAL VARIATIONS I_N FERTILITY AND IN THE SEX RATIO OF MAMMALS, WITH SPECIAL REFERENCE TO THE RAT.
1929|0|0.0|Journal of Hygiene|Epidemiology of Typhoid Fever: Observations on the Spontaneous Seasonal Recurrence of Paratyphoid Epidemics among Guinea-pigs
1930|5.0|0.5|JAMA Pediatrics|ASSOCIATION OF KERATOMALACIA WITH OTHER DEFICIENCY DISEASES
1931|1.0|1.0|JAMA Internal Medicine|THE INFLUENCE OF SOLAR RAYS ON METABOLISM: WITH SPECIAL REFERENCE TO SULPHUR AND TO PELLAGRA IN SOUTHERN UNITED STATES
1932|1.0|1.0|Transactions of The Royal Society of Tropical Medicine and Hygiene|The movements of anopheles at various seasons of the year with special reference to infected mosquitoes
1934|2.0|2.0|Journal of Allergy|The sedimentation rate in hay fever: Before and during the seasonal exacerbation
1935|3.0|1.0|Journal of Dairy Science|Seasonal Variations in the Lipase Content of Milk
1937|3.0|0.0|The Journal of Pediatrics|A review of American research on seasonal variation in stature and body weight
1938|8.0|4.0|Biological Reviews|LIGHT AND SEASONAL REPRODUCTION IN ANIMALS
1939|4.0|0.0|Journal of Dairy Science|The Riboflavin Value of Milk1
1940|4.0|1.5|JAMA Pediatrics|ESTIMATION OF VITAMIN D IN BLOOD SERUM: II. LEVEL OF VITAMIN D IN HUMAN BLOOD SERUMS
1941|3.0|1.5|American Journal of Botany|Seasonal Growth of Grass Roots
1942|1.0|1.0|Journal of Allergy|The value of continuing preseasonal therapy during the pollen season
1943|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Excitation processes in the night sky and the aurora
1944|1.0|1.0|Journal of Dairy Science|Seasonal and Geographical Variations in the Citric Acid Content of Defatted Milk Solids
1945|9.0|1.0|Parasitology|The Ecology of the Sheep Tick, Ixodes ricinus L. The seasonal Activity in Britain with particular Reference to northern England.
1946|3.0|0.0|American Journal of Potato Research|Resistance of potato seedling varieties to the natural spread of leaf roll
1947|9.0|5.0|Parasitology|The seasonal activity of the tick, Ixodes ricinus L., in Wales.
