----  Field Name Behavioral ecology: 
----  Field Level 2.0: 
----  Field Papers Number 7885:
----  All time max citation paper: Optimal foraging: The marginal value theorem, 1976, (2024.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1935|3.0|3.0|American Journal of Anatomy|Origin of asymmetry in the reproductive system of birds
1938|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|Studies on the reproductive system of the alligator. III. The action of testosterone on the accessory sex structures of recently hatched female alligators
1939|0|0.0|Journal of Morphology|The reproductive system of the male opossum, didelphis virginiana kerr, and its experimental modification
1942|0|0.0|Journal of Experimental Zoology|The influence of roentgenray treatments of the hypophysis on reproductive systems of the ground squirrel and rat
1943|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|The effects of antigonadotropic serum on the early postnatal development of the reproductive system of the male rat
1945|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|A study of the genesis of histological changes produced by caloric restriction in portions of the endocrine and reproductive systems of strain A female mice
1953|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|The effects of castration on the reproductive system of the golden hamster
1955|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|The relation of advancing age to reactivity of the reproductive system in the female hamster
1959|0|0.0|Journal of Experimental Zoology|Effects of reserpine on the reproductive system of immature male mice
1963|1.0|1.0|Proceedings of The Royal Society of London. Series B, Biological Sciences (1934-1990)|Metabolism of Haemoglobin and Haematin Compounds in Ascaris lumbricoides
1964|2.0|1.0|Parasitology|Studies on the structure of the female reproductive system and egg-shell formation in Aspiculuris tetraptera Schulz, (Nematoda: Oxyuroidea)
1965|5.0|2.5|Journal of Insect Physiology|Chemistry of the drone honey bee reproductive systemIII. Dehydrogenases in washed spermatozoa
1968|21.0|3.0|Physiology & Behavior|Relative thresholds of behavioral and somatic responses to estrogen
