----  Field Name Computer simulation: 
----  Field Level 2.0: 
----  Field Papers Number 360960:
----  All time max citation paper: THE NEIGHBOR-JOINING METHOD: A NEW METHOD FOR RECONSTRUCTING PHYLOGENETIC TREES, 1987, (27549.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|0|0.0|Transactions of The American Institute of Electrical Engineers|A New Telephotograph System
1944|0|0.0|Journal of Chemical Physics|Theory of Chain Copolymerization Reactions
1948|2.0|1.0|Journal of Applied Physics|On Creep and Relaxation. II.
1949|0|0.0|Bulletin of Mathematical Biology|Theory of the mitotic index and its application to tissue growth measurement
1950|10.0|2.0|Journal of Chemical Physics|Kinetics of OH Radicals from Flame Emission Spectra. II. Rotational and Vibrational Distribution Functions and Temperature Determinations in the 2+2 Transition of OH
1951|16.0|6.0|Journal of Chemical Physics|The Rate Constant of Ethane Formation from Methyl Radicals
1952|1.0|1.0|Bulletin of Mathematical Biology|A mathematical theory of capillary exchange as a function of tissue structure
1953|3.0|1.0|Journal of Chemical Physics|A Detailed Formulation of Kinetic Processes. II. The Role of Collision Processes
1954|5.0|1.0|Journal of Applied Physics|Diffusion Coefficient, Solubility, and Permeability for Helium in Glass
1955|2.0|0.0|Journal of Applied Physics|Crystallization Kinetics in High Polymers. II. PolymerDiluent Mixtures
1956|5.0|2.0|Journal of Applied Physics|Pulsed TF Emission Electron Projection Microscopy
1957|36.0|1.0|Journal of Chemical Physics|Reactions of Nitrogen Atoms. I. Oxygen and Oxides of Nitrogen
1958|45.0|4.0|Journal of Applied Physics|Static and Dynamic Behavior of Thin Permalloy Films
1959|17.0|1.0|Journal of Chemical Physics|CALCULATION OF REACTION PROFILES BEHIND STEADY STATE SHOCK WAVES. II. THE DISSOCIATION OF AIR
1960|14.0|1.0|Physics of Fluids|Analysis of SteadyState Supported OneDimensional Detonations and Shocks
1961|18.0|1.0|Journal of Geophysical Research|A study of the free oscillations of the Earth
1962|31.0|2.0|Journal of Applied Physics|Effect of Impurities on the Flow Stress of LiF Crystals
1963|13.0|2.0|Journal of Applied Physics|HighTemperature SteadyState Creep Rate in SingleCrystal MgO
1964|145.0|2.0|Journal of Geophysical Research|Initial results of the imp 1 magnetic field experiment
1965|45.0|3.0|Journal of Geophysical Research|Crustal structure of the midocean ridges: 2. Computed model from gravity and seismic refraction data
1966|16.0|1.0|Journal of Geophysical Research|Trapped protons of the inner radiation belt.
1967|35.0|2.0|Journal of the ACM|Stack automata and compiling
1968|33.0|2.0|Journal of Geophysical Research|Plasma flow in the magnetosphere
1969|66.0|2.0|Journal of Geophysical Research|A study of polar magnetic substorms
1970|59.0|2.0|Journal of Geophysical Research|Inward motion of the magnetopause before a substorm
1971|42.0|2.0|Journal of Geophysical Research|OBSERVATIONS OF THE INTERPLANETARY MEDIUM: VELA 3 AND IMP 3, 1965--1967.
