----  Field Name Physical cosmology: 
----  Field Level 2.0: 
----  Field Papers Number 5315:
----  All time max citation paper: Porphyrin-Sensitized Solar Cells with Cobalt (II/III)Based Redox Electrolyte Exceed 12 Percent Efficiency, 2011, (2685.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1930|3.0|3.0|Journal of Genetics|The wheat species: a critique.
1950|6.0|3.5|The New England Journal of Medicine|Adventures among Viruses. I. Some Properties of Viruses.
1955|5.0|3.5|Microbiology|Recombination with Herpes Simplex Virus.
1956|11.0|11.0|Virology|On the Mechanism of Multiplicity Reactivation in Bactriophage.
1960|19.0|5.0|Genetics Research|Localized negative interference and its bearing on models of gene recombination
1962|5.0|5.0||Linkage and recombination in evolution.
1963|17.0|17.0|Journal of Geophysical Research|The recombination coefficient of the nighttime F layer
1967|5.0|1.0|Journal of Geophysical Research|The propagation of cosmicray nuclei in interstellar space and solar system
1968|25.0|13.0|Journal of General Virology|A Common Surface Antigen in Influenza Viruses from Human and Avian Sources
1969|0|0.0||Lectures in high energy astrophysics
1970|29.0|12.0|Nature|Somatic translocation of antibody genes.
1971|41.0|41.0|Journal of Geophysical Research|Relationship of interplanetary parameters and occurrence of magnetospheric substorms
1972|18.0|3.0|Virology|Studies on the origin of pandemic influenza: II. Peptide maps of the light and heavy polypeptide chains from the hemagglutinin subunits of A2 influenza viruses isolated before and after the appearance of Hong Kong influenza
1973|17.0|7.5|Journal of Geophysical Research|Plasma sheet at lunar distance - Characteristics and interactions with the lunar surface
1974|47.0|5.0|Journal of Geophysical Research|Temperature dependence of some ionospheric ionneutral reactions from 300900K
1975|14.0|1.0|Journal of Atmospheric and Solar-Terrestrial Physics|A simplified D -region model and its application to magnetic storm after-effects
1976|17.0|8.0|Icarus|The generation of magnetic fields and electric currents in cometary plasma tails
1977|13.0|4.0|Applied Physics Letters|The origin of dislocation climb during laser operation
1978|12.0|7.0|Journal of Applied Physics|Radiation damage in neutron transmutation doped silicon: Electrical property studies
1979|11.0|1.0|Gene|Cloning of Bacteriophage-t5 Dna Fragments in Plasmid Pbr322 and Bacteriophage-lambda Gtwes
1980|135.0|3.5|Nature|Two types of somatic recombination are necessary for the generation of complete immunoglobulin heavy-chain genes.
1981|46.0|6.0|Journal of Geophysical Research|Empirical models of height integrated conductivities
1982|29.0|3.0|Environmental Mutagenesis|Genetic effects of deoxyribonucleotide pool imbalances
1983|17.0|7.5|Gene|Cloning and expression of the Escherichia coli recA gene in Bacillus subtilis
1984|50.0|2.5|Nature|Expression of rabies virus glycoprotein from a recombinant vaccinia virus.
1985|16.0|2.0|Journal of Applied Physics|Electrical properties of CdTe films and junctions
1986|19.0|2.0|Icarus|Primitive galactic dust in the solar system?
1987|35.0|3.0|Journal of Chemical Physics|Theoretical study of the dipole moment function of OH(X 2)
1988|11.0|2.0|Biological Journal of The Linnean Society|Evolutionary rates: effects of stress upon recombination
1989|20.0|3.0|Applied Physics Letters|Operating characteristics of InGaAs/AlGaAs strained single quantum well lasers
1990|36.0|5.0|Genetics|Fine mapping of quantitative trait loci using selected overlapping recombinant chromosomes, in an interspecies cross of tomato.
1991|26.0|3.0|Genomics|Cosegregation of porcine malignant hyperthermia and a probable causal mutation in the skeletal muscle ryanodine receptor gene in backcross families
1992|19.0|4.0|Gene|Analysis of Streptomyces avermitilis genes required for avermectin biosynthesis utilizing a novel integration vector
1993|13.0|2.0|Parasitology|Polymorphism in Plasmodium vivax MSA1 gene  the result of intragenic recombinations?
1994|34.0|3.0|Mutation Research-dna Repair|Cloning of human and mouse genes homologous to RAD52, a yeast gene involved in DNA repair and recombination.
1995|87.0|4.0|Cell|Cleavage at a V(D)J recombination signal requires only RAG1 and RAG2 proteins and occurs in two steps
1996|46.0|5.0|Structure|The catalytic domain of avian sarcoma virus integrase: conformation of the active-site residues in the presence of divalent cations
1997|95.0|7.0|The EMBO Journal|rqh1+, a fission yeast gene related to the Blooms and Werner's syndrome genes, is required for reversible S phase arrest
1998|269.0|7.0|American Journal of Human Genetics|Comprehensive Human Genetic Maps: Individual and Sex-Specific Variation in Recombination
1999|116.0|6.0|Molecular Genetics and Metabolism|Alu Repeats and Human Disease
2000|428.0|10.0|Cell|Class Switch Recombination and Hypermutation Require Activation-Induced Cytidine Deaminase (AID), a Potential RNA Editing Enzyme
2001|210.0|8.0|Genome Biology|Homologous recombination: from model organisms to human disease
2002|182.0|9.0|Oncogene|Alternative lengthening of telomeres in mammalian cells
2003|216.0|10.0|Annual Review of Biochemistry|REPLICATION PROTEIN A:A Heterotrimeric, Single-Stranded DNA-Binding Protein Required for Eukaryotic DNA Metabolism
2004|125.0|9.0|Nature Genetics|Evidence for substantial fine-scale variation in recombination rates across the human genome
2005|171.0|6.0|Nature|Simulations of the formation, evolution and clustering of galaxies and quasars
2006|252.0|6.0|Nature Genetics|Discovery of previously unidentified genomic disorders from the duplication architecture of the human genome
2007|190.0|7.5|Genesis|A global doublefluorescent Cre reporter mouse
2008|219.0|7.0|Nature Materials|High-performance dye-sensitized solar cells based on solvent-free electrolytes produced from eutectic melts
2009|912.0|11.0|Nature|The Sorghum bicolor genome and the diversification of grasses
2010|846.0|8.0|Astrophysical Journal Supplement Series|Seven-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations: Cosmological Interpretation
