----  Field Name Exploration geophysics: 
----  Field Level 2.0: 
----  Field Papers Number 1872:
----  All time max citation paper: Three-dimensional crustal structure of the southern Sierra Nevada from seismic fan profiles and gravity modeling, 1996, (2279.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1957|0|0.0|Poultry Science|Relationships among diet composition, fleshing, fatness, and edible quality of female roasting turkeys. 2. Fish products in starters ; cereal grains and oilcake meals in growers.
1961|5.0|5.0|Journal of Geophysical Research|Sound velocities at the surface of deep sea sediments
1964|16.0|16.0|Journal of Geophysical Research|Crustal structure from pacific basin to central Nevada
1965|45.0|6.0|Journal of Geophysical Research|Crustal structure of the midocean ridges: 2. Computed model from gravity and seismic refraction data
1966|1.0|0.5|Geophysical Journal International|Global Analysis of Seismic Refraction Measurements*
1967|12.0|6.0|Journal of Geophysical Research|Seismic refraction measurements in the southern Indian Ocean
1968|12.0|7.0|Journal of Geophysical Research|Seismic refraction studies off Oregon and northern California
1969|29.0|5.0|Journal of Geophysical Research|Microearthquake survey and the MidAtlantic Ridge in Iceland
1970|13.0|8.0|Journal of Geophysical Research|Crustal structure of the western Canary Islands from seismic refraction and gravity data
1971|144.0|17.5|Journal of Geophysical Research|Reykjanes ridge crest: A detailed geophysical study
1972|6.0|3.0|Developments in Geotectonics|Some Comments on the Results of a Seismic Refraction Experiment in the Kenya Rift
1973|7.0|2.0|Physics of the Earth and Planetary Interiors|Internal constitution and evolution of the moon.
1974|6.0|3.0|Marine Geology|Seismic refraction and reflection measurements in the southern Barents Sea
1975|12.0|3.0|Reviews of Geophysics|The interrelationships of crustal and upper mantle parameter values in the Pacific
1976|13.0|1.0|Journal of Geophysical Research|Seismic structure of the Juan de Fuca Ridge: Ocean bottom seismometer results from the Median Valley
1977|15.0|9.0|Journal of Geophysical Research|Seismic refraction and reflection studies of crustal structure of the Eastern Sunda and Western Banda Arcs
1978|25.0|3.5|Earth and Planetary Science Letters|Seismic refraction studies of the upper igneous crust in the North Atlantic and porosity estimates for Layer 2
1979|20.0|5.5|Journal of Geophysical Research|An analysis of isostasy in the world's oceans: 3. Aseismic ridges
1980|44.0|6.0|Earth and Planetary Science Letters|Rifting process and thermal evolution of the continental margin of Eastern Canada determined from subsidence curves
1981|51.0|4.0|Journal of Geophysical Research|Passive margins: A model of formation
1982|20.0|4.0|Journal of Geophysical Research|Constraints on the structure of the East Pacific Rise from seismic refraction data
1983|22.0|4.0|Tectonophysics|Crustal Structure of the Northern Mississippi Embayment and a Comparison with other Continental Rift Zones
1984|28.0|4.0|Journal of Geophysical Research|East Pacific Rise from Siqueiros to Orozco Fracture Zones: Alongstrike continuity of axial neovolcanic zone and structure and evolution of overlapping spreading centers
1985|31.0|6.0|Tectonophysics|Saudi Arabian seismic-refraction profile: A traveltime interpretation of crustal and upper mantle structure
1986|22.0|4.5|Nature|A magnetotelluric sounding across Vancouver Island detects the subducting Juan de Fuca plate
1987|26.0|3.0|Tectonophysics|Seismic refraction investigation of the Black Forest
1988|28.0|6.0|Journal of Geophysical Research|Dipping Seismic Reflectors, Electrically Conductive Zones, and Trapped Water in the Crust Over a Subducting Plate
1989|17.0|5.0|Journal of Geophysical Research|Velocity structure of the Kapuskasing Uplift, northern Ontario, from seismic refraction studies
1990|18.0|4.5|Geophysical Journal International|Shallow crustal structure beneath the Juan de Fuca Ridge from 2D seismic refraction tomography
1991|27.0|5.0|Nature|Large-scale variation in lithospheric structure along and across the Kenya rift
1992|81.0|7.0|Journal of Geophysical Research|Oceanic crustal thickness from seismic measurements and rare earth element inversions
1993|33.0|4.5|Journal of Geophysical Research|The accretion of oceanic crust by episodic sill intrusion
1994|39.0|4.0|Tectonics|A balanced model of the southern Central Andes
1995|170.0|2.5|Reviews of Geophysics|Nature and composition of the continental crust: A lower crustal perspective
1996|295.0|6.0|Geology|Three-dimensional crustal structure of the southern Sierra Nevada from seismic fan profiles and gravity modeling
1997|30.0|6.0|Tectonophysics|Upper mantle temperatures and lithosphere-asthenosphere system beneath the French Massif Central constrained by seismic, gravity, petrologic and thermal observations
1998|47.0|4.0|Journal of Geophysical Research|CRUST 5.1: A global crustal model at 5  5
1999|31.0|3.0|Geophysical Journal International|Modelling strategies and model assessment for wide-angle seismic traveltime data
2000|32.0|4.0|Earth and Planetary Science Letters|Structure of the crust and uppermost mantle of Iceland from a combined seismic and gravity study
2001|27.0|4.0|Tectonophysics|VRANCEA99the crustal structure beneath the southeastern Carpathians and the Moesian Platform from a seismic refraction profile in Romania
2002|29.0|5.0|Tectonophysics|The Southern Andes between 36 and 40S latitude: seismicity and average seismic velocities
2003|39.0|5.0|Allergy|Roasted hazelnuts  allergenic activity evaluated by doubleblind, placebocontrolled food challenge
2004|54.0|6.0|Nature|Low-velocity zone atop the 410-km seismic discontinuity in the northwestern United States
2005|42.0|6.0|Food Chemistry|Effects of processing methods and extraction solvents on concentration and antioxidant activity of peanut skin phenolics.
2006|58.0|6.5|Annals of Oncology|Cellular pharmacology of gemcitabine.
2007|64.0|7.0|Environment International|Acid mine drainage pollution in the Tinto and Odiel rivers (Iberian Pyrite Belt, SW Spain) and bioavailability of the transported metals to the Huelva Estuary
2008|64.0|6.0|Geomorphology|Application of field geophysics in geomorphology: Advances and limitations exemplified by case studies
2009|45.0|7.0|Food Research International|Effect of curing and cooking on flavonols and anthocyanins in traditional varieties of onion bulbs.
2010|121.0|5.0|The Journal of Allergy and Clinical Immunology|Allergy or tolerance in children sensitized to peanut: Prevalence and differentiation using component-resolved diagnostics
